id,post,user
570,6438,7346
571,17634,7092
572,30732,18922
573,4042,16309
574,11682,8482
575,8927,4859
576,3097,8746
577,29311,9348
578,6606,4845
579,27214,15155
580,4389,11757
581,3059,696
582,18124,11020
583,33678,9380
584,27770,20535
585,31396,18776
586,34026,871
587,25686,971
588,10985,18434
589,32620,10393
590,30435,9990
591,35262,6118
592,30470,6520
593,28985,1820
594,19088,6233
595,28644,11628
596,29867,17057
597,20780,3586
598,14168,16751
599,17519,4406
600,1403,18955
601,2691,12824
602,32236,18285
603,10357,7138
604,34119,12276
605,29215,8242
606,24823,2363
607,24279,3410
608,32407,18936
609,33672,8722
610,23871,16139
611,1411,7807
612,39309,13257
613,19923,6790
614,31662,20338
615,21138,20682
616,19224,7980
617,28256,11250
618,222,15298
619,39333,2670
620,35930,7270
621,37795,12285
622,20120,2930
623,4846,11383
624,9553,12019
625,31506,3269
626,1455,24231
627,29898,23749
628,37771,20319
629,11766,5340
630,20769,9320
631,1502,4375
632,24486,1502
633,12163,23789
634,5153,9803
635,257,9995
636,13551,19478
637,22160,448
638,8774,10328
639,18022,18658
640,16158,24691
641,8130,23375
642,4645,14674
643,2072,4216
644,13982,7014
645,20449,18206
646,15703,24503
647,164,10534
648,1480,22795
649,23501,12241
650,21559,21622
651,33604,5627
652,3568,21993
653,11540,24174
654,18707,7941
655,1757,19693
656,8257,21948
657,12201,11180
658,18571,3850
659,13114,19926
660,12099,3190
661,19926,17042
662,43,3067
663,22679,17190
664,14894,3951
665,21354,20393
666,2934,2314
667,29759,8752
668,29941,12064
669,23339,1221
670,27439,20295
671,17114,13519
672,2598,1534
673,13601,19981
674,28285,20180
675,21599,7480
676,6175,19933
677,25647,10909
678,23480,9210
679,25250,20253
680,13279,16476
681,5474,2158
682,29173,14599
683,954,5296
684,3754,14347
685,10795,13419
686,10559,24138
687,19496,20730
688,15536,5087
689,36027,15490
690,24717,4005
691,32161,5556
692,28021,19679
693,27422,13746
694,18700,23264
695,33711,7693
696,39395,20456
697,13922,23564
698,2843,2619
699,27683,3889
700,356,23845
701,6672,22733
702,38361,23537
703,8728,21310
704,28603,10891
705,3928,9496
706,13527,2116
707,30027,12205
708,37432,16091
709,17839,10140
710,2402,6263
711,23627,17137
712,35779,3951
713,11675,7218
714,8965,12545
715,8306,12270
716,36426,24509
717,24243,8625
718,32217,24800
719,39704,4176
720,12761,877
721,23282,24328
722,6390,4224
723,520,16837
724,34010,7724
725,18815,17991
726,22360,10604
727,30608,11081
728,19788,13831
729,27493,12180
730,38541,8184
731,7544,13886
732,2773,18006
733,6999,14747
734,3453,15411
735,17378,24704
736,96,11506
737,29163,23369
738,30915,24207
739,35300,9574
740,3743,157
741,33591,2390
742,31503,14936
743,24096,3362
744,36983,6144
745,33404,324
746,33867,4115
747,22224,2230
748,28573,10297
749,13176,9286
750,26242,20103
751,34837,18679
752,27376,19460
753,30049,19260
754,32024,7345
755,32148,17050
756,2093,2022
757,9693,19276
758,18133,12062
759,22880,7010
760,24829,16559
761,22437,205
762,11969,8537
763,31482,14712
764,17505,15434
765,8053,4776
766,3034,3708
767,18922,11648
768,28946,782
769,15849,11772
770,34225,18896
771,12037,23007
772,24572,1508
773,28194,4560
774,18004,10172
775,7993,21250
776,27383,10959
777,1346,17537
778,18103,21150
779,19778,10919
780,11855,22663
781,33881,17721
782,22963,16967
783,25914,20591
784,13101,238
785,6534,7262
786,3636,19875
787,27292,19644
788,32294,10795
789,8201,15755
790,36629,16083
791,8186,2412
792,10548,11292
793,28262,21378
794,34018,13555
795,25875,15653
796,35359,2380
797,33383,21381
798,1493,17121
799,32143,4123
800,30623,4962
801,38254,9695
802,14786,19014
803,21166,21758
804,38195,7740
805,8543,3757
806,23897,961
807,23882,9338
808,18628,19923
809,2690,23304
810,8018,6268
811,26736,21737
812,2964,8033
813,19995,10454
814,953,9717
815,32637,13834
816,10503,11836
817,5508,3605
818,35523,20503
819,30189,15807
820,26268,8899
821,26669,6802
822,25070,24555
823,16523,20359
824,16526,17981
825,12436,23967
826,28317,15794
827,12120,2394
828,6242,20886
829,7581,8441
830,11206,24410
831,17025,1842
832,16853,366
833,24453,15997
834,21490,5866
835,38411,10097
836,7401,2216
837,3995,2239
838,4195,21766
839,2190,6541
840,37092,6983
841,19234,462
842,3438,21025
843,21416,24823
844,7854,1082
845,965,24905
846,1902,895
847,10132,287
848,25729,23021
849,14502,17379
850,17029,16227
851,12629,9446
852,33294,6369
853,27316,8274
854,35312,11306
855,38960,4091
856,31377,14355
857,488,10170
858,36586,21111
859,2016,22021
860,11918,1637
861,36370,6054
862,1650,16668
863,11087,23196
864,6125,5101
865,3556,7249
866,16060,15553
867,37548,18162
868,9517,1943
869,24696,14181
870,34876,15445
871,8998,6696
872,32779,20691
873,35575,4354
874,3985,14114
875,28804,277
876,14668,9275
877,20273,9064
878,24990,10649
879,1766,9998
880,21310,1911
881,37862,11723
882,9652,1559
883,26398,15932
884,28566,24779
885,10861,3162
886,3107,2601
887,8236,11798
888,24195,6557
889,16959,19962
890,32778,23455
891,23629,12231
892,26468,2286
893,4519,5634
894,17071,8790
895,17687,24867
896,22397,17844
897,16877,22246
898,38578,3802
899,25572,8538
900,32056,11107
901,29780,24460
902,15162,15236
903,12757,12017
904,17440,15276
905,5038,19866
906,15800,5374
907,12279,1840
908,38380,14365
909,27970,20764
910,19200,11455
911,19127,12138
912,5280,3036
913,15622,7402
914,22153,7473
915,35034,22025
916,7882,1390
917,236,3964
918,22342,6017
919,20823,2178
920,29400,6100
921,27856,21887
922,15446,5556
923,487,17938
924,17815,15197
925,4298,16579
926,13213,16812
927,24471,15308
928,11895,6499
929,23912,16083
930,16081,13410
931,9607,7995
932,34429,2073
933,7084,9970
934,19142,18636
935,26356,8401
936,20727,12429
937,26412,15594
938,36413,6909
939,20330,18385
940,16968,24997
941,17064,21888
942,26155,14669
943,27939,15029
944,5479,3209
945,13379,22994
946,26714,5813
947,20884,19508
948,24074,9671
949,20559,6190
950,7438,5705
951,1643,8012
952,11694,15620
953,13715,9231
954,20278,19377
955,5269,11368
956,16540,17870
957,38362,6514
958,3861,24719
959,22132,4305
960,17732,21806
961,36839,4279
962,15720,17441
963,19072,1671
964,35883,15876
965,22853,16263
966,1068,22519
967,16459,17877
968,10650,19733
969,2633,12739
970,33081,4660
971,3842,4976
972,3930,20354
973,10243,5243
974,7171,18562
975,21159,3848
976,6297,2134
977,38321,10907
978,8549,701
979,11368,8969
980,28587,21125
981,26150,134
982,19068,14497
983,25195,9231
984,37837,14206
985,11967,23275
986,25559,14538
987,27325,20436
988,294,24368
989,18853,12708
990,7791,9129
991,3515,20871
992,32756,23044
993,25460,24109
994,1471,43
995,11308,14166
996,24519,22597
997,29584,5519
998,11989,23223
999,25430,10822
1000,1497,18161
1001,7184,10440
1002,29437,5857
1003,10679,6463
1004,37440,16097
1005,7404,10955
1006,35054,782
1007,6266,10269
1008,26029,23463
1009,26524,17937
1010,36476,14497
1011,19136,14459
1012,31508,4038
1013,10733,21235
1014,14940,20664
1015,36655,8634
1016,12885,17627
1017,8068,8847
1018,39377,5631
1019,18751,15019
1020,19916,10714
1021,31995,4542
1022,26469,1013
1023,3260,20387
1024,12932,13228
1025,14872,19487
1026,22529,24143
1027,5068,23556
1028,22538,2594
1029,11581,6682
1030,1963,1350
1031,16380,8286
1032,16380,21997
1033,25868,4836
1034,31092,18885
1035,26880,2903
1036,3283,18351
1037,4190,4452
1038,24272,19263
1039,16150,4238
1040,10250,18463
1041,24084,22588
1042,15410,21732
1043,15960,9099
1044,1771,22377
1045,5010,2038
1046,34799,11365
1047,39626,7852
1048,27950,3741
1049,38856,7475
1050,26967,8072
1051,4934,12742
1052,6867,1444
1053,16331,712
1054,20918,2612
1055,36277,19871
1056,33975,1494
1057,31879,2280
1058,30732,16662
1059,4067,8227
1060,16529,7787
1061,39232,17057
1062,36923,3967
1063,8828,23457
1064,22292,12233
1065,24254,24717
1066,23217,17366
1067,35180,21234
1068,18942,6720
1069,1901,13246
1070,21175,19551
1071,17897,10476
1072,32242,5822
1073,16721,17471
1074,2271,2637
1075,39005,13660
1076,17737,19340
1077,28183,14926
1078,24076,3324
1079,2713,18134
1080,9745,20919
1081,11976,9351
1082,17800,11106
1083,26288,11394
1084,30144,7800
1085,14586,23596
1086,33243,9347
1087,2315,21682
1088,18050,11755
1089,32639,19851
1090,4770,15830
1091,7676,24564
1092,8055,6384
1093,11893,2439
1094,28311,326
1095,10181,18239
1096,35064,18244
1097,27018,4468
1098,20859,20158
1099,13185,19422
1100,810,15649
1101,23786,19034
1102,21125,21777
1103,4372,21439
1104,26072,4504
1105,34047,4892
1106,32149,11344
1107,24503,2710
1108,3087,14034
1109,36767,5628
1110,1880,15802
1111,36537,9455
1112,16711,134
1113,8211,4013
1114,24037,22837
1115,2962,21856
1116,8507,10892
1117,29809,3070
1118,9023,9071
1119,25514,4484
1120,6478,21928
1121,7847,15734
1122,6898,15854
1123,37447,15117
1124,28402,5687
1125,33870,11320
1126,8369,20608
1127,14133,1146
1128,15601,6757
1129,9912,13483
1130,2872,2618
1131,26366,14139
1132,27024,22148
1133,83,18661
1134,26873,22134
1135,29937,3279
1136,20936,21682
1137,9932,12961
1138,12651,24784
1139,20137,21239
1140,14941,2226
1141,25850,20016
1142,32842,2461
1143,36206,19164
1144,22264,20363
1145,26619,20588
1146,10542,10579
1147,35764,1230
1148,24080,18446
1149,25266,24225
1150,34179,19516
1151,14558,465
1152,23934,8156
1153,20313,160
1154,3853,1871
1155,26271,418
1156,16023,24266
1157,21086,5253
1158,19338,9700
1159,13053,14126
1160,38119,8548
1161,25141,2055
1162,36095,571
1163,33372,23597
1164,5359,11461
1165,16330,6022
1166,33982,19412
1167,28318,7098
1168,19010,14246
1169,27701,9738
1170,35874,20065
1171,21318,17819
1172,14769,21991
1173,38107,18779
1174,5732,20760
1175,38286,23372
1176,26382,11420
1177,14440,5593
1178,4809,2954
1179,19893,1333
1180,28893,8657
1181,7,13757
1182,9005,15875
1183,27121,8197
1184,30193,24918
1185,207,19094
1186,107,1724
1187,34721,277
1188,20196,8747
1189,28829,6087
1190,17280,16673
1191,33405,20626
1192,33830,16101
1193,16179,3214
1194,29084,2596
1195,17333,10248
1196,18490,7792
1197,9595,9769
1198,36663,6599
1199,12209,3872
1200,8414,21886
1201,39309,24035
1202,14464,14667
1203,24732,5884
1204,33474,17180
1205,31878,19555
1206,7263,19815
1207,24319,6170
1208,33024,17937
1209,24124,12316
1210,20038,24529
1211,5168,11436
1212,26987,2025
1213,939,989
1214,26448,19710
1215,11319,10795
1216,35085,4266
1217,34524,19533
1218,37536,2238
1219,34881,4694
1220,31008,16094
1221,13581,10926
1222,20995,16512
1223,21460,1085
1224,30043,17648
1225,1711,10173
1226,839,19821
1227,7825,15618
1228,36963,16481
1229,23158,14338
1230,7741,12351
1231,4189,24424
1232,23154,15855
1233,39571,9011
1234,24666,10526
1235,6697,15231
1236,9078,21245
1237,25897,20095
1238,17062,13851
1239,23190,4695
1240,525,22076
1241,23437,24756
1242,4469,17850
1243,6199,8012
1244,27931,1923
1245,32282,9233
1246,28256,24629
1247,36600,19944
1248,2615,2630
1249,893,4675
1250,29605,4015
1251,5969,5029
1252,1880,13082
1253,30862,18022
1254,22278,10948
1255,36969,10949
1256,32798,1726
1257,28685,24234
1258,28947,9337
1259,39457,24968
1260,17763,13114
1261,26088,9091
1262,22465,21511
1263,3270,8067
1264,5331,23473
1265,8733,15082
1266,38588,3370
1267,7314,4350
1268,17503,15851
1269,35170,3921
1270,30360,23690
1271,19554,12162
1272,4796,344
1273,12839,8882
1274,11334,7209
1275,35141,6760
1276,35007,11486
1277,2143,17024
1278,23974,22812
1279,14944,4670
1280,6633,18438
1281,7313,13686
1282,1022,3738
1283,22337,12813
1284,37382,2191
1285,32117,1809
1286,15093,9697
1287,1359,13068
1288,29303,22086
1289,29395,9476
1290,19991,21818
1291,10504,13352
1292,15109,17888
1293,11306,16849
1294,28059,1003
1295,37199,9372
1296,18071,4237
1297,31055,3400
1298,10399,8673
1299,25626,13400
1300,6986,5372
1301,35290,24488
1302,28270,603
1303,1093,2077
1304,29815,1779
1305,2478,20484
1306,33145,7266
1307,30630,13399
1308,8812,15262
1309,26599,16755
1310,9153,11706
1311,21988,12249
1312,18628,11256
1313,15645,9198
1314,870,12761
1315,19703,20365
1316,12079,7575
1317,22271,5973
1318,5397,21700
1319,31168,2183
1320,32662,11319
1321,28576,22079
1322,19674,16322
1323,3513,15570
1324,34158,3894
1325,8128,12512
1326,14516,13313
1327,21128,9104
1328,14195,3368
1329,34969,21482
1330,4638,9171
1331,16118,1560
1332,9646,12423
1333,38349,4088
1334,2984,22222
1335,2134,17393
1336,14746,24113
1337,33969,10570
1338,22465,12649
1339,9249,6732
1340,38336,1540
1341,2893,4633
1342,22830,15495
1343,36747,16056
1344,37079,13324
1345,9864,5072
1346,20386,15900
1347,18091,20109
1348,23215,20595
1349,15644,12369
1350,28100,23790
1351,8827,12283
1352,32867,15135
1353,26735,8202
1354,35832,15989
1355,28650,16081
1356,2470,2535
1357,30568,13375
1358,630,13686
1359,12216,13673
1360,12136,15829
1361,1071,21671
1362,14931,15614
1363,3413,21992
1364,20467,22700
1365,39351,19584
1366,7349,5707
1367,26679,21480
1368,26791,23806
1369,18545,13573
1370,20060,15352
1371,8127,11659
1372,17575,24679
1373,7292,24608
1374,20848,1094
1375,11837,23020
1376,19862,21012
1377,21515,15777
1378,6827,10782
1379,8831,14007
1380,36348,4974
1381,30433,1473
1382,14782,17567
1383,29391,9115
1384,4784,37
1385,11534,19494
1386,35385,16657
1387,13871,5874
1388,25297,4294
1389,27411,19533
1390,39933,24018
1391,16193,2643
1392,16139,4329
1393,6432,16536
1394,34642,9911
1395,21227,6668
1396,5846,7205
1397,29286,18103
1398,13373,19289
1399,13141,5746
1400,4482,2019
1401,3990,23749
1402,19236,13422
1403,21444,14471
1404,4326,13782
1405,20446,19489
1406,19146,12189
1407,33037,7089
1408,18187,11650
1409,20251,21797
1410,38196,13034
1411,37769,24382
1412,1036,16627
1413,32195,18224
1414,22730,13255
1415,20647,19789
1416,23785,19938
1417,31732,15543
1418,29173,11120
1419,7335,9685
1420,31808,5469
1421,23907,19118
1422,16577,10857
1423,36548,22758
1424,10543,2658
1425,16049,14068
1426,33352,16661
1427,18024,10041
1428,33313,4371
1429,1784,5147
1430,3310,6124
1431,21801,3968
1432,3564,23442
1433,34845,1770
1434,34844,4062
1435,26054,20984
1436,24788,12490
1437,30631,1246
1438,35853,23177
1439,13828,1611
1440,19862,8819
1441,2695,19752
1442,33020,16998
1443,11753,17071
1444,31125,1661
1445,7719,7647
1446,30248,10084
1447,35521,7391
1448,22874,2446
1449,38857,4059
1450,36339,9467
1451,38161,7230
1452,11702,14262
1453,14810,21321
1454,23672,13055
1455,715,21950
1456,35648,17283
1457,32866,20368
1458,330,13367
1459,5214,3668
1460,31687,23512
1461,19639,22557
1462,16770,19978
1463,10597,23049
1464,35173,635
1465,14841,13709
1466,36409,12830
1467,6381,13283
1468,33580,7189
1469,3492,6764
1470,21610,11945
1471,5617,21580
1472,9204,3181
1473,16994,22353
1474,28052,11025
1475,6899,20878
1476,6645,18835
1477,23646,9817
1478,35426,6577
1479,32488,23002
1480,29887,24924
1481,15504,16851
1482,31328,13333
1483,6761,17670
1484,13667,2516
1485,37058,2530
1486,31285,12241
1487,13582,6253
1488,18443,19454
1489,16366,14865
1490,5016,5897
1491,26963,1997
1492,33596,16906
1493,32804,8147
1494,35391,4060
1495,8968,16981
1496,7896,668
1497,18438,8413
1498,14594,18780
1499,16335,14388
1500,28239,22154
1501,17766,1573
1502,6640,4117
1503,26438,467
1504,6340,4794
1505,13532,15297
1506,35082,23936
1507,10377,3228
1508,23866,966
1509,31741,14211
1510,16496,13174
1511,14590,22498
1512,18095,8453
1513,10279,19398
1514,25786,17257
1515,27211,1064
1516,16703,1036
1517,8069,20822
1518,36788,8820
1519,29030,17978
1520,12975,13270
1521,23451,9610
1522,18324,8789
1523,32743,8296
1524,10579,24363
1525,9131,3385
1526,6369,4149
1527,33674,1027
1528,37434,7904
1529,17699,2441
1530,19186,5677
1531,4608,16262
1532,17807,8009
1533,23237,4270
1534,12297,10781
1535,21271,22229
1536,38376,3530
1537,33183,17919
1538,30767,23849
1539,36148,18402
1540,28654,21066
1541,2838,840
1542,37742,22007
1543,14711,13650
1544,38937,9330
1545,27121,20977
1546,724,21910
1547,27898,13549
1548,17915,16178
1549,36393,11047
1550,27675,17781
1551,5473,5018
1552,38320,14372
1553,29989,8237
1554,37884,8713
1555,31271,11219
1556,17498,23195
1557,35671,24729
1558,28319,3163
1559,29947,5531
1560,15983,3980
1561,13840,20248
1562,14838,19693
1563,25203,12270
1564,27993,19049
1565,6028,17143
1566,9666,14704
1567,10707,13822
1568,10429,12636
1569,36989,9492
1570,38926,13700
1571,23173,13557
1572,36691,22589
1573,12283,21171
1574,6797,6723
1575,24007,9252
1576,28078,7883
1577,30507,23040
1578,15221,21097
1579,39167,14534
1580,21129,17515
1581,13902,14393
1582,30758,1095
1583,361,14577
1584,33784,18970
1585,12785,2911
1586,9860,5653
1587,38460,5388
1588,16541,9437
1589,19725,14252
1590,29622,11495
1591,38083,21276
1592,26465,14579
1593,8178,13452
1594,137,12830
1595,10338,15100
1596,29017,13798
1597,12224,12261
1598,17590,3599
1599,34955,5224
1600,12742,792
1601,38688,8612
1602,19497,5788
1603,17536,24513
1604,23322,24383
1605,17485,4673
1606,28962,13644
1607,614,14069
1608,5663,15395
1609,10504,4751
1610,27356,21157
1611,19480,3616
1612,30624,1209
1613,26263,16643
1614,18438,15833
1615,32525,14596
1616,2045,11159
1617,36209,15167
1618,102,12301
1619,38916,19016
1620,21773,22863
1621,30844,16329
1622,4493,6603
1623,34014,10754
1624,35335,6837
1625,6722,21095
1626,16688,23509
1627,16191,17054
1628,9214,18641
1629,3510,13898
1630,30034,12173
1631,24764,16477
1632,32574,14394
1633,25820,8558
1634,23175,16298
1635,5995,23027
1636,5041,14721
1637,28947,15862
1638,38956,3226
1639,28355,8419
1640,6344,20523
1641,845,120
1642,34270,16679
1643,19149,24957
1644,16016,9587
1645,19917,19132
1646,8907,20283
1647,34696,3934
1648,21301,3395
1649,21873,667
1650,9689,22791
1651,20651,1678
1652,38284,19758
1653,38465,381
1654,11421,12161
1655,10237,584
1656,10246,19432
1657,5246,19131
1658,28683,7778
1659,34244,6425
1660,39844,14276
1661,5174,140
1662,34382,17850
1663,19340,11051
1664,36513,12008
1665,21418,23693
1666,372,4812
1667,30601,13401
1668,34292,1002
1669,15827,18589
1670,3096,14267
1671,1625,23041
1672,5102,1713
1673,21307,4978
1674,2589,16497
1675,7507,2417
1676,35021,1767
1677,34047,24777
1678,37507,1545
