Id,nombre_artistico,genero_principal
3409,Artista_00141,Rock
24156,Artista_00142,Country
13019,Artista_00143,Rock
11284,Artista_00144,Folk
5147,Artista_00145,Folk
2651,Artista_00146,Folk
14728,Artista_00147,Rock
6008,Artista_00148,Hip-Hop
4958,Artista_00149,Country
8384,Artista_00150,Hip-Hop
14385,Artista_00151,Folk
619,Artista_00152,Jazz
8869,Artista_00153,Rock
17049,Artista_00154,Jazz
4181,Artista_00155,Hip-Hop
15650,Artista_00156,Hip-Hop
11396,Artista_00157,Electronic
368,Artista_00158,Pop
4750,Artista_00159,Country
8261,Artista_00160,Folk
1472,Artista_00161,Pop
3646,Artista_00162,Electronic
23856,Artista_00163,Electronic
24286,Artista_00164,Latin
11582,Artista_00165,Folk
512,Artista_00166,Latin
20130,Artista_00167,Country
22134,Artista_00168,Latin
24278,Artista_00169,Jazz
22980,Artista_00170,Hip-Hop
6808,Artista_00171,Rock
17,Artista_00172,Rock
17148,Artista_00173,Pop
22077,Artista_00174,Latin
20433,Artista_00175,Jazz
17186,Artista_00176,Country
13667,Artista_00177,Rock
22894,Artista_00178,Latin
11929,Artista_00179,Electronic
11197,Artista_00180,Folk
16010,Artista_00181,Folk
23381,Artista_00182,Jazz
11674,Artista_00183,Latin
24525,Artista_00184,Rock
3620,Artista_00185,Country
19778,Artista_00186,Electronic
11391,Artista_00187,Folk
21680,Artista_00188,Pop
1199,Artista_00189,Hip-Hop
16849,Artista_00190,Rock
2869,Artista_00191,Rock
10985,Artista_00192,Electronic
22300,Artista_00193,Country
10772,Artista_00194,Folk
19844,Artista_00195,Country
2551,Artista_00196,Electronic
1228,Artista_00197,Folk
19136,Artista_00198,Pop
16776,Artista_00199,Hip-Hop
16262,Artista_00200,Latin
19175,Artista_00201,Rock
2280,Artista_00202,Pop
5306,Artista_00203,Hip-Hop
2542,Artista_00204,Hip-Hop
7949,Artista_00205,Folk
12396,Artista_00206,Folk
5507,Artista_00207,Rock
17253,Artista_00208,Jazz
17944,Artista_00209,Folk
9372,Artista_00210,Folk
10522,Artista_00211,Latin
19660,Artista_00212,Rock
6529,Artista_00213,Latin
17553,Artista_00214,Folk
20173,Artista_00215,Country
24359,Artista_00216,Latin
22870,Artista_00217,Rock
2488,Artista_00218,Folk
18575,Artista_00219,Folk
16590,Artista_00220,Country
318,Artista_00221,Latin
2455,Artista_00222,Rock
24090,Artista_00223,Country
18964,Artista_00224,Latin
11129,Artista_00225,Jazz
12902,Artista_00226,Jazz
2756,Artista_00227,Pop
23789,Artista_00228,Folk
12017,Artista_00229,Electronic
23580,Artista_00230,Jazz
976,Artista_00231,Latin
3298,Artista_00232,Hip-Hop
17859,Artista_00233,Pop
4956,Artista_00234,Electronic
4030,Artista_00235,Hip-Hop
23510,Artista_00236,Jazz
21245,Artista_00237,Country
15693,Artista_00238,Latin
8717,Artista_00239,Folk
1324,Artista_00240,Latin
13258,Artista_00241,Country
7002,Artista_00242,Electronic
494,Artista_00243,Folk
13232,Artista_00244,Latin
8640,Artista_00245,Rock
6891,Artista_00246,Jazz
14354,Artista_00247,Hip-Hop
15674,Artista_00248,Folk
12702,Artista_00249,Jazz
20288,Artista_00250,Jazz
10511,Artista_00251,Rock
17637,Artista_00252,Jazz
319,Artista_00253,Electronic
15737,Artista_00254,Jazz
8733,Artista_00255,Pop
16398,Artista_00256,Folk
10880,Artista_00257,Folk
4870,Artista_00258,Pop
9192,Artista_00259,Pop
24524,Artista_00260,Hip-Hop
22731,Artista_00261,Rock
20949,Artista_00262,Jazz
13824,Artista_00263,Electronic
20854,Artista_00264,Folk
3708,Artista_00265,Pop
4879,Artista_00266,Folk
12701,Artista_00267,Folk
21043,Artista_00268,Country
14439,Artista_00269,Country
15552,Artista_00270,Hip-Hop
8692,Artista_00271,Country
23153,Artista_00272,Pop
9193,Artista_00273,Hip-Hop
20830,Artista_00274,Latin
6720,Artista_00275,Pop
9736,Artista_00276,Pop
24467,Artista_00277,Folk
1639,Artista_00278,Hip-Hop
24829,Artista_00279,Electronic
13008,Artista_00280,Rock
9591,Artista_00281,Jazz
16680,Artista_00282,Pop
22911,Artista_00283,Country
6135,Artista_00284,Electronic
22694,Artista_00285,Folk
3854,Artista_00286,Electronic
9487,Artista_00287,Latin
10082,Artista_00288,Rock
15072,Artista_00289,Pop
9276,Artista_00290,Rock
132,Artista_00291,Rock
15960,Artista_00292,Electronic
20305,Artista_00293,Hip-Hop
12724,Artista_00294,Latin
14345,Artista_00295,Pop
3572,Artista_00296,Jazz
8984,Artista_00297,Pop
5506,Artista_00298,Latin
19752,Artista_00299,Electronic
20050,Artista_00300,Latin
7616,Artista_00301,Hip-Hop
3355,Artista_00302,Electronic
492,Artista_00303,Folk
16683,Artista_00304,Latin
4273,Artista_00305,Pop
13087,Artista_00306,Country
20919,Artista_00307,Latin
190,Artista_00308,Rock
19319,Artista_00309,Rock
20883,Artista_00310,Country
14882,Artista_00311,Rock
13744,Artista_00312,Pop
17219,Artista_00313,Rock
10978,Artista_00314,Folk
16524,Artista_00315,Country
16896,Artista_00316,Jazz
18615,Artista_00317,Country
11746,Artista_00318,Folk
12864,Artista_00319,Hip-Hop
15731,Artista_00320,Country
10698,Artista_00321,Latin
7791,Artista_00322,Country
17872,Artista_00323,Pop
6300,Artista_00324,Hip-Hop
22021,Artista_00325,Country
15947,Artista_00326,Hip-Hop
20281,Artista_00327,Pop
68,Artista_00328,Hip-Hop
16046,Artista_00329,Folk
1260,Artista_00330,Country
2581,Artista_00331,Country
6324,Artista_00332,Jazz
11210,Artista_00333,Latin
23937,Artista_00334,Folk
8828,Artista_00335,Jazz
22895,Artista_00336,Latin
3232,Artista_00337,Pop
24088,Artista_00338,Rock
497,Artista_00339,Pop
14917,Artista_00340,Folk
2449,Artista_00341,Rock
13804,Artista_00342,Country
2528,Artista_00343,Rock
13513,Artista_00344,Hip-Hop
3155,Artista_00345,Hip-Hop
21473,Artista_00346,Latin
19011,Artista_00347,Jazz
20197,Artista_00348,Pop
10280,Artista_00349,Latin
11386,Artista_00350,Folk
20902,Artista_00351,Jazz
18585,Artista_00352,Electronic
5620,Artista_00353,Pop
15566,Artista_00354,Folk
220,Artista_00355,Latin
13009,Artista_00356,Hip-Hop
17610,Artista_00357,Folk
19052,Artista_00358,Jazz
14231,Artista_00359,Pop
1533,Artista_00360,Electronic
22012,Artista_00361,Pop
15993,Artista_00362,Hip-Hop
37,Artista_00363,Country
5679,Artista_00364,Pop
6446,Artista_00365,Pop
4844,Artista_00366,Electronic
5709,Artista_00367,Electronic
1397,Artista_00368,Hip-Hop
1820,Artista_00369,Rock
6163,Artista_00370,Folk
24542,Artista_00371,Electronic
14456,Artista_00372,Country
445,Artista_00373,Rock
2553,Artista_00374,Country
1645,Artista_00375,Folk
10914,Artista_00376,Pop
23790,Artista_00377,Folk
3104,Artista_00378,Hip-Hop
3692,Artista_00379,Country
21205,Artista_00380,Electronic
18444,Artista_00381,Folk
19481,Artista_00382,Electronic
19214,Artista_00383,Folk
12333,Artista_00384,Hip-Hop
17347,Artista_00385,Folk
24307,Artista_00386,Country
20042,Artista_00387,Jazz
22431,Artista_00388,Country
15971,Artista_00389,Country
8503,Artista_00390,Latin
3174,Artista_00391,Country
11448,Artista_00392,Pop
22096,Artista_00393,Folk
23940,Artista_00394,Country
18551,Artista_00395,Country
11195,Artista_00396,Country
8686,Artista_00397,Pop
5733,Artista_00398,Pop
11803,Artista_00399,Pop
7284,Artista_00400,Hip-Hop
18016,Artista_00401,Electronic
13774,Artista_00402,Rock
8928,Artista_00403,Country
9493,Artista_00404,Rock
23186,Artista_00405,Folk
11999,Artista_00406,Jazz
22968,Artista_00407,Country
12898,Artista_00408,Hip-Hop
17387,Artista_00409,Jazz
21013,Artista_00410,Country
4403,Artista_00411,Rock
22433,Artista_00412,Rock
13237,Artista_00413,Folk
9055,Artista_00414,Pop
14274,Artista_00415,Country
16097,Artista_00416,Rock
9207,Artista_00417,Folk
2634,Artista_00418,Jazz
14582,Artista_00419,Hip-Hop
19688,Artista_00420,Country
23031,Artista_00421,Country
1558,Artista_00422,Pop
14012,Artista_00423,Country
490,Artista_00424,Latin
1748,Artista_00425,Rock
18161,Artista_00426,Rock
16403,Artista_00427,Hip-Hop
19332,Artista_00428,Latin
9018,Artista_00429,Pop
17029,Artista_00430,Country
23333,Artista_00431,Hip-Hop
14570,Artista_00432,Folk
10347,Artista_00433,Folk
2059,Artista_00434,Electronic
1389,Artista_00435,Jazz
21474,Artista_00436,Jazz
19640,Artista_00437,Jazz
22615,Artista_00438,Latin
23461,Artista_00439,Rock
8426,Artista_00440,Rock
19798,Artista_00441,Electronic
22794,Artista_00442,Latin
8907,Artista_00443,Pop
24561,Artista_00444,Rock
19870,Artista_00445,Hip-Hop
12268,Artista_00446,Jazz
1670,Artista_00447,Pop
21752,Artista_00448,Electronic
16098,Artista_00449,Hip-Hop
19221,Artista_00450,Pop
6518,Artista_00451,Country
24973,Artista_00452,Country
3916,Artista_00453,Rock
7073,Artista_00454,Electronic
2481,Artista_00455,Country
6734,Artista_00456,Rock
23785,Artista_00457,Electronic
13788,Artista_00458,Hip-Hop
358,Artista_00459,Rock
484,Artista_00460,Country
3680,Artista_00461,Latin
13845,Artista_00462,Pop
193,Artista_00463,Hip-Hop
146,Artista_00464,Electronic
18893,Artista_00465,Hip-Hop
23456,Artista_00466,Country
12042,Artista_00467,Folk
10500,Artista_00468,Country
15116,Artista_00469,Jazz
17832,Artista_00470,Jazz
14837,Artista_00471,Hip-Hop
9272,Artista_00472,Electronic
8655,Artista_00473,Country
23511,Artista_00474,Jazz
1911,Artista_00475,Folk
11842,Artista_00476,Rock
4530,Artista_00477,Hip-Hop
7596,Artista_00478,Latin
1809,Artista_00479,Rock
7556,Artista_00480,Pop
23286,Artista_00481,Jazz
10790,Artista_00482,Electronic
8302,Artista_00483,Hip-Hop
16120,Artista_00484,Jazz
3126,Artista_00485,Electronic
17096,Artista_00486,Country
23646,Artista_00487,Hip-Hop
16732,Artista_00488,Folk
24708,Artista_00489,Hip-Hop
1483,Artista_00490,Pop
3255,Artista_00491,Rock
16280,Artista_00492,Rock
18645,Artista_00493,Folk
24375,Artista_00494,Country
3983,Artista_00495,Country
758,Artista_00496,Latin
8891,Artista_00497,Hip-Hop
4722,Artista_00498,Pop
23924,Artista_00499,Latin
15635,Artista_00500,Country
510,Artista_00501,Latin
2308,Artista_00502,Pop
4457,Artista_00503,Folk
4869,Artista_00504,Folk
18283,Artista_00505,Hip-Hop
21892,Artista_00506,Rock
23823,Artista_00507,Rock
11858,Artista_00508,Latin
1715,Artista_00509,Latin
4747,Artista_00510,Hip-Hop
24574,Artista_00511,Jazz
17043,Artista_00512,Folk
20157,Artista_00513,Jazz
3415,Artista_00514,Pop
11225,Artista_00515,Country
3070,Artista_00516,Latin
19014,Artista_00517,Jazz
24039,Artista_00518,Rock
17079,Artista_00519,Country
6292,Artista_00520,Hip-Hop
8855,Artista_00521,Latin
21754,Artista_00522,Rock
4383,Artista_00523,Rock
8809,Artista_00524,Rock
21089,Artista_00525,Folk
7837,Artista_00526,Jazz
6664,Artista_00527,Electronic
4356,Artista_00528,Rock
11360,Artista_00529,Rock
409,Artista_00530,Pop
5670,Artista_00531,Electronic
15720,Artista_00532,Latin
10839,Artista_00533,Pop
23339,Artista_00534,Jazz
20507,Artista_00535,Latin
5214,Artista_00536,Rock
310,Artista_00537,Folk
15869,Artista_00538,Latin
22445,Artista_00539,Country
1130,Artista_00540,Rock
9933,Artista_00541,Electronic
792,Artista_00542,Country
7150,Artista_00543,Country
10893,Artista_00544,Electronic
7588,Artista_00545,Pop
5999,Artista_00546,Folk
11242,Artista_00547,Jazz
21882,Artista_00548,Country
15676,Artista_00549,Electronic
18213,Artista_00550,Jazz
3996,Artista_00551,Electronic
14696,Artista_00552,Pop
18583,Artista_00553,Pop
18790,Artista_00554,Electronic
8720,Artista_00555,Folk
2230,Artista_00556,Hip-Hop
12549,Artista_00557,Folk
4387,Artista_00558,Jazz
1014,Artista_00559,Latin
7232,Artista_00560,Country
24859,Artista_00561,Hip-Hop
16647,Artista_00562,Folk
20082,Artista_00563,Pop
10113,Artista_00564,Pop
9554,Artista_00565,Hip-Hop
3339,Artista_00566,Country
5394,Artista_00567,Rock
7096,Artista_00568,Hip-Hop
12826,Artista_00569,Electronic
2078,Artista_00570,Folk
21369,Artista_00571,Jazz
14648,Artista_00572,Rock
20977,Artista_00573,Hip-Hop
6501,Artista_00574,Hip-Hop
5220,Artista_00575,Folk
21663,Artista_00576,Rock
15259,Artista_00577,Pop
4316,Artista_00578,Folk
22364,Artista_00579,Rock
21453,Artista_00580,Folk
21908,Artista_00581,Jazz
8704,Artista_00582,Pop
7283,Artista_00583,Hip-Hop
6166,Artista_00584,Rock
18448,Artista_00585,Country
4635,Artista_00586,Electronic
7913,Artista_00587,Latin
18707,Artista_00588,Latin
352,Artista_00589,Pop
3108,Artista_00590,Pop
6902,Artista_00591,Rock
536,Artista_00592,Jazz
18594,Artista_00593,Jazz
19495,Artista_00594,Latin
6072,Artista_00595,Electronic
15658,Artista_00596,Country
8298,Artista_00597,Electronic
12673,Artista_00598,Rock
3828,Artista_00599,Electronic
17204,Artista_00600,Hip-Hop
2510,Artista_00601,Latin
19767,Artista_00602,Rock
8638,Artista_00603,Latin
9647,Artista_00604,Pop
9313,Artista_00605,Country
12227,Artista_00606,Country
20972,Artista_00607,Folk
14147,Artista_00608,Electronic
4167,Artista_00609,Country
6553,Artista_00610,Hip-Hop
22769,Artista_00611,Country
1602,Artista_00612,Electronic
12427,Artista_00613,Electronic
10033,Artista_00614,Rock
3875,Artista_00615,Rock
18244,Artista_00616,Country
13693,Artista_00617,Jazz
12111,Artista_00618,Electronic
7209,Artista_00619,Hip-Hop
23415,Artista_00620,Rock
2426,Artista_00621,Jazz
11782,Artista_00622,Jazz
17228,Artista_00623,Jazz
5960,Artista_00624,Hip-Hop
4507,Artista_00625,Rock
21995,Artista_00626,Pop
15893,Artista_00627,Pop
14946,Artista_00628,Pop
17770,Artista_00629,Jazz
6783,Artista_00630,Jazz
9700,Artista_00631,Pop
15791,Artista_00632,Jazz
15994,Artista_00633,Country
2453,Artista_00634,Jazz
4028,Artista_00635,Rock
4889,Artista_00636,Electronic
14821,Artista_00637,Rock
14848,Artista_00638,Electronic
15360,Artista_00639,Rock
22153,Artista_00640,Electronic
19047,Artista_00641,Hip-Hop
16250,Artista_00642,Country
18722,Artista_00643,Latin
23810,Artista_00644,Pop
4710,Artista_00645,Electronic
10610,Artista_00646,Latin
23554,Artista_00647,Country
18391,Artista_00648,Country
16601,Artista_00649,Country
4475,Artista_00650,Jazz
11128,Artista_00651,Folk
5800,Artista_00652,Jazz
8853,Artista_00653,Country
533,Artista_00654,Country
14250,Artista_00655,Latin
2493,Artista_00656,Folk
22967,Artista_00657,Folk
5441,Artista_00658,Folk
5400,Artista_00659,Folk
21341,Artista_00660,Jazz
24920,Artista_00661,Jazz
22599,Artista_00662,Country
24319,Artista_00663,Latin
8332,Artista_00664,Jazz
4726,Artista_00665,Jazz
2761,Artista_00666,Folk
16976,Artista_00667,Rock
13003,Artista_00668,Latin
6499,Artista_00669,Latin
18883,Artista_00670,Latin
16231,Artista_00671,Electronic
14366,Artista_00672,Latin
15155,Artista_00673,Hip-Hop
11169,Artista_00674,Folk
11066,Artista_00675,Electronic
14297,Artista_00676,Folk
19304,Artista_00677,Jazz
19,Artista_00678,Hip-Hop
20577,Artista_00679,Latin
3271,Artista_00680,Electronic
19957,Artista_00681,Folk
23042,Artista_00682,Jazz
22249,Artista_00683,Electronic
19423,Artista_00684,Country
22198,Artista_00685,Pop
4411,Artista_00686,Latin
21152,Artista_00687,Country
24634,Artista_00688,Latin
11222,Artista_00689,Electronic
15027,Artista_00690,Folk
7832,Artista_00691,Latin
200,Artista_00692,Electronic
10184,Artista_00693,Electronic
23987,Artista_00694,Pop
7571,Artista_00695,Rock
11987,Artista_00696,Pop
20498,Artista_00697,Jazz
17391,Artista_00698,Hip-Hop
2923,Artista_00699,Hip-Hop
13097,Artista_00700,Country
9173,Artista_00701,Hip-Hop
4957,Artista_00702,Electronic
16079,Artista_00703,Electronic
4510,Artista_00704,Rock
17095,Artista_00705,Pop
234,Artista_00706,Jazz
24256,Artista_00707,Country
4587,Artista_00708,Latin
1734,Artista_00709,Rock
13140,Artista_00710,Hip-Hop
20946,Artista_00711,Folk
9513,Artista_00712,Hip-Hop
11357,Artista_00713,Pop
21621,Artista_00714,Electronic
19637,Artista_00715,Hip-Hop
22572,Artista_00716,Electronic
5527,Artista_00717,Jazz
23915,Artista_00718,Electronic
7642,Artista_00719,Electronic
3946,Artista_00720,Hip-Hop
14637,Artista_00721,Pop
23974,Artista_00722,Jazz
9210,Artista_00723,Jazz
20406,Artista_00724,Pop
21998,Artista_00725,Jazz
408,Artista_00726,Pop
12273,Artista_00727,Pop
13636,Artista_00728,Pop
18018,Artista_00729,Rock
2318,Artista_00730,Jazz
20354,Artista_00731,Jazz
7079,Artista_00732,Folk
7327,Artista_00733,Rock
19995,Artista_00734,Latin
17348,Artista_00735,Pop
3797,Artista_00736,Pop
9126,Artista_00737,Latin
23968,Artista_00738,Electronic
13507,Artista_00739,Latin
24665,Artista_00740,Jazz
20066,Artista_00741,Rock
20349,Artista_00742,Pop
15455,Artista_00743,Rock
6927,Artista_00744,Latin
3296,Artista_00745,Rock
5202,Artista_00746,Folk
442,Artista_00747,Hip-Hop
18237,Artista_00748,Electronic
16493,Artista_00749,Pop
16147,Artista_00750,Electronic
17779,Artista_00751,Latin
16626,Artista_00752,Country
16846,Artista_00753,Latin
21871,Artista_00754,Electronic
19614,Artista_00755,Jazz
8850,Artista_00756,Latin
18824,Artista_00757,Hip-Hop
14729,Artista_00758,Electronic
24395,Artista_00759,Rock
19546,Artista_00760,Rock
11397,Artista_00761,Hip-Hop
19751,Artista_00762,Pop
20897,Artista_00763,Pop
548,Artista_00764,Folk
13442,Artista_00765,Country
14732,Artista_00766,Folk
9616,Artista_00767,Electronic
4110,Artista_00768,Country
15593,Artista_00769,Folk
3945,Artista_00770,Rock
14722,Artista_00771,Country
17128,Artista_00772,Rock
23095,Artista_00773,Electronic
8095,Artista_00774,Latin
15434,Artista_00775,Electronic
1360,Artista_00776,Hip-Hop
12967,Artista_00777,Jazz
15299,Artista_00778,Jazz
9621,Artista_00779,Country
20373,Artista_00780,Latin
1078,Artista_00781,Folk
19189,Artista_00782,Hip-Hop
7936,Artista_00783,Rock
10465,Artista_00784,Jazz
16055,Artista_00785,Jazz
5997,Artista_00786,Hip-Hop
20842,Artista_00787,Folk
15224,Artista_00788,Electronic
23948,Artista_00789,Country
8054,Artista_00790,Hip-Hop
7717,Artista_00791,Rock
17787,Artista_00792,Latin
15130,Artista_00793,Hip-Hop
6708,Artista_00794,Folk
1298,Artista_00795,Electronic
24311,Artista_00796,Latin
18978,Artista_00797,Folk
7223,Artista_00798,Rock
23985,Artista_00799,Rock
10253,Artista_00800,Folk
13141,Artista_00801,Electronic
21217,Artista_00802,Folk
2558,Artista_00803,Rock
21633,Artista_00804,Latin
24097,Artista_00805,Rock
8200,Artista_00806,Folk
19146,Artista_00807,Electronic
14397,Artista_00808,Country
14144,Artista_00809,Jazz
5745,Artista_00810,Country
14584,Artista_00811,Jazz
3037,Artista_00812,Electronic
20469,Artista_00813,Hip-Hop
6459,Artista_00814,Jazz
16264,Artista_00815,Electronic
22309,Artista_00816,Country
17247,Artista_00817,Electronic
3036,Artista_00818,Pop
17510,Artista_00819,Pop
14557,Artista_00820,Jazz
16699,Artista_00821,Latin
3481,Artista_00822,Electronic
4763,Artista_00823,Folk
19899,Artista_00824,Country
21285,Artista_00825,Electronic
9451,Artista_00826,Folk
11367,Artista_00827,Electronic
15555,Artista_00828,Latin
22448,Artista_00829,Latin
13329,Artista_00830,Folk
18609,Artista_00831,Hip-Hop
23571,Artista_00832,Rock
14812,Artista_00833,Hip-Hop
13574,Artista_00834,Hip-Hop
24737,Artista_00835,Hip-Hop
9903,Artista_00836,Rock
20383,Artista_00837,Jazz
19453,Artista_00838,Country
3351,Artista_00839,Folk
20108,Artista_00840,Electronic
6939,Artista_00841,Country
20211,Artista_00842,Rock
24206,Artista_00843,Jazz
22589,Artista_00844,Rock
4930,Artista_00845,Latin
13316,Artista_00846,Rock
7756,Artista_00847,Folk
12414,Artista_00848,Country
21428,Artista_00849,Country
21468,Artista_00850,Jazz
16415,Artista_00851,Electronic
19158,Artista_00852,Latin
20315,Artista_00853,Electronic
13803,Artista_00854,Jazz
4171,Artista_00855,Rock
9667,Artista_00856,Hip-Hop
4584,Artista_00857,Rock
19575,Artista_00858,Rock
6155,Artista_00859,Jazz
13301,Artista_00860,Pop
12464,Artista_00861,Rock
14200,Artista_00862,Jazz
9626,Artista_00863,Electronic
7207,Artista_00864,Hip-Hop
1315,Artista_00865,Pop
13577,Artista_00866,Rock
14018,Artista_00867,Latin
6910,Artista_00868,Rock
15435,Artista_00869,Electronic
10063,Artista_00870,Electronic
11864,Artista_00871,Pop
16286,Artista_00872,Rock
17941,Artista_00873,Folk
2792,Artista_00874,Rock
11480,Artista_00875,Folk
7108,Artista_00876,Jazz
17566,Artista_00877,Pop
6730,Artista_00878,Electronic
14989,Artista_00879,Electronic
8802,Artista_00880,Electronic
16051,Artista_00881,Hip-Hop
12070,Artista_00882,Country
9142,Artista_00883,Folk
7509,Artista_00884,Folk
21158,Artista_00885,Folk
23055,Artista_00886,Latin
18159,Artista_00887,Hip-Hop
21191,Artista_00888,Latin
24479,Artista_00889,Country
6061,Artista_00890,Jazz
12572,Artista_00891,Latin
13726,Artista_00892,Electronic
11822,Artista_00893,Folk
24414,Artista_00894,Country
10143,Artista_00895,Latin
10543,Artista_00896,Jazz
8006,Artista_00897,Hip-Hop
23024,Artista_00898,Pop
15040,Artista_00899,Folk
6616,Artista_00900,Pop
9568,Artista_00901,Jazz
13525,Artista_00902,Country
13665,Artista_00903,Hip-Hop
20401,Artista_00904,Hip-Hop
20551,Artista_00905,Folk
10423,Artista_00906,Pop
1201,Artista_00907,Pop
13412,Artista_00908,Country
10190,Artista_00909,Hip-Hop
18383,Artista_00910,Hip-Hop
23547,Artista_00911,Hip-Hop
8572,Artista_00912,Hip-Hop
16988,Artista_00913,Country
1857,Artista_00914,Pop
7546,Artista_00915,Folk
16625,Artista_00916,Rock
3049,Artista_00917,Country
862,Artista_00918,Rock
7634,Artista_00919,Hip-Hop
13321,Artista_00920,Jazz
13406,Artista_00921,Folk
17126,Artista_00922,Pop
22420,Artista_00923,Folk
8392,Artista_00924,Jazz
22199,Artista_00925,Pop
15104,Artista_00926,Pop
2429,Artista_00927,Rock
23966,Artista_00928,Hip-Hop
15415,Artista_00929,Electronic
4832,Artista_00930,Folk
7542,Artista_00931,Country
8378,Artista_00932,Country
23111,Artista_00933,Jazz
4751,Artista_00934,Rock
19623,Artista_00935,Rock
7116,Artista_00936,Country
2035,Artista_00937,Electronic
8989,Artista_00938,Electronic
12207,Artista_00939,Folk
11568,Artista_00940,Jazz
4410,Artista_00941,Latin
16543,Artista_00942,Pop
3091,Artista_00943,Pop
24374,Artista_00944,Electronic
21967,Artista_00945,Electronic
7669,Artista_00946,Rock
14754,Artista_00947,Country
11592,Artista_00948,Folk
653,Artista_00949,Country
8205,Artista_00950,Pop
16949,Artista_00951,Rock
5721,Artista_00952,Rock
13372,Artista_00953,Latin
18496,Artista_00954,Hip-Hop
21770,Artista_00955,Folk
11891,Artista_00956,Rock
23513,Artista_00957,Pop
11229,Artista_00958,Jazz
13458,Artista_00959,Latin
