id,titulo,genero,artista_id
188,Establish street down,Hip-Hop,14002
189,Resource above nor view,Electronic,10154
190,Very help school after,Pop,1085
191,Decide,Electronic,7460
192,Quite us citizen,Electronic,7977
193,Occur yard Mrs,Pop,1665
194,Doctor industry,Jazz,5174
195,Fine first,Hip-Hop,8001
196,Officer why,Rock,18869
197,Activity thank,Pop,5331
198,Everybody sometimes,Pop,637
199,Hope front remember,Pop,1139
200,Black either land,Pop,10431
201,Surface kid top,Electronic,11539
202,Tax listen scene,Pop,4876
203,Reality ready,Rock,18182
204,Night guy together,Hip-Hop,17922
205,Interesting main,Pop,19302
206,By national,Rock,17656
207,Do system,Pop,15763
208,Detail staff all,Pop,19597
209,Hard people,Jazz,16320
210,Call research,Electronic,14647
211,Special,Hip-Hop,11864
212,Understand their,Rock,11929
213,Easy act compare,Pop,18685
214,Enjoy doctor,Pop,7289
215,Lay interesting debate,Jazz,1768
216,Account once,Rock,16620
217,Require seem most,Rock,12956
218,Assume however,Electronic,6142
219,Agency into maybe,Jazz,17727
220,Family hundred soon,Jazz,5700
221,Base listen,Rock,8430
222,She executive,Pop,8762
223,Door through huge,Hip-Hop,4516
224,Baby break,Electronic,6571
225,Cup personal billion,Pop,531
226,Friend answer quickly,Jazz,3622
227,Society behind less,Rock,9206
228,Long friend who,Rock,13254
229,She free lot,Rock,6191
230,Indeed wear town education,Electronic,8510
231,Already sometimes national most,Rock,797
232,Myself myself,Electronic,8878
233,Evidence security yard,Pop,3011
234,Improve Mrs probably,Jazz,11568
235,Apply agency,Jazz,5886
236,Use understand cost market,Pop,19778
237,Some son,Pop,7642
238,Positive common officer,Pop,9607
239,Country hotel,Rock,3870
240,Lose news human,Pop,18155
241,Follow cup my,Hip-Hop,1154
242,Teacher indicate,Jazz,17159
243,Only,Electronic,16236
244,This agent on,Jazz,2762
245,Culture receive statement,Electronic,10395
246,Society life ok,Rock,3053
247,Yeah budget,Pop,18658
248,Seat teach environment,Rock,3641
249,The,Pop,5526
250,Quickly when behavior,Jazz,10065
251,My safe look,Electronic,14602
252,Answer health have,Hip-Hop,16844
253,Collection fast,Jazz,3356
254,Large clear result,Hip-Hop,16549
255,Song TV include,Pop,11251
256,Beautiful protect he,Jazz,3958
257,Build station,Rock,3803
258,Short necessary,Pop,12713
259,Agent find bed,Pop,19060
260,Million reflect company,Electronic,2127
261,Than white sure four,Hip-Hop,4326
262,Listen source,Pop,10475
263,Green sit medical evidence,Pop,6109
264,Professor tough,Electronic,13987
265,Bit trip position,Electronic,7031
266,Word teacher reduce audience,Jazz,4862
267,Company past surface,Pop,19195
268,Car,Hip-Hop,12408
269,Day religious,Jazz,11141
270,Third account tax,Jazz,11557
271,Knowledge protect start,Rock,2015
272,Church most take,Hip-Hop,17252
273,Mission travel,Pop,12191
274,Public pretty political training,Jazz,10594
275,Continue drug without,Jazz,9962
276,Seven artist,Hip-Hop,2663
277,Blood weight statement,Rock,2112
278,Car mother,Hip-Hop,18045
279,Year technology,Pop,9033
280,Too effort,Hip-Hop,11540
281,Theory sound,Pop,4477
282,Like,Electronic,2985
283,Thus black,Electronic,11952
284,Development light quality,Electronic,554
285,Shake throughout from,Hip-Hop,12910
286,Decision friend,Hip-Hop,17106
287,Evening toward,Jazz,13200
288,Door street usually,Rock,625
289,Take experience consumer,Rock,5175
290,Development,Electronic,13997
291,Million,Hip-Hop,15346
292,Car cover clear,Rock,13293
293,Happy four,Pop,10272
294,Between property letter,Electronic,1316
295,Piece group court,Jazz,9219
296,Without happen single,Rock,16128
297,Many as cover,Electronic,9991
298,Leave less,Hip-Hop,15746
299,Performance hit,Electronic,15231
300,Prevent stage glass,Hip-Hop,14002
301,Environment director,Pop,4901
302,True standard economic,Jazz,15462
303,Police chance area,Jazz,2722
304,Stock change,Rock,6070
305,Of position,Jazz,18222
306,Can board media,Rock,13743
307,Another night,Electronic,6704
308,Something public,Hip-Hop,19654
309,Tough others keep,Jazz,12209
310,Event word system,Electronic,9364
311,Among cultural concern,Jazz,12445
312,American sell,Pop,8036
313,Question possible bring,Hip-Hop,5719
314,Young money single detail,Electronic,8386
315,Think table former,Rock,2585
316,Real father statement,Electronic,10566
317,Debate how risk,Electronic,535
318,Realize official direction,Hip-Hop,17347
319,Police industry,Rock,18866
320,Account begin,Jazz,18232
321,While senior whom,Rock,16868
322,Tv hair science,Electronic,18564
323,Board mother,Jazz,5945
324,Green hospital,Rock,1445
325,Keep,Electronic,19204
326,Analysis not,Hip-Hop,14407
327,Manage edge,Jazz,10866
328,Say you,Hip-Hop,8858
329,Opportunity society culture,Electronic,14645
330,Low career,Hip-Hop,2462
331,Good cover,Pop,15538
332,Meeting memory,Jazz,3344
333,International baby,Electronic,19927
334,Likely become,Hip-Hop,12659
335,Focus stage,Jazz,15937
336,Project couple clear,Pop,8710
337,Rest you word,Electronic,9531
338,End,Pop,15272
339,Left pretty,Pop,12158
340,Couple firm sense,Pop,1640
341,They animal,Electronic,11558
342,Central agree,Jazz,1761
343,Every defense,Rock,1444
344,Measure behavior sing,Electronic,14301
345,Growth rather,Pop,10751
346,Fear quality ago,Electronic,18
347,Issue weight,Hip-Hop,4972
348,Long,Jazz,891
349,Art nothing father,Jazz,3388
350,Business hope,Electronic,8318
351,End something support,Hip-Hop,17114
352,Cut those green,Electronic,10810
353,Beat eat,Jazz,7548
354,Some involve,Rock,15507
355,Another back firm,Hip-Hop,18565
356,Two everything,Jazz,12899
357,None ahead,Electronic,8054
358,Enter prepare,Rock,14501
359,Argue three public,Hip-Hop,16448
360,Growth live effort,Jazz,3922
361,Increase evening college,Electronic,4840
362,May charge bed base,Hip-Hop,2486
363,Sort floor,Rock,19903
364,Stock system benefit,Electronic,13461
365,On mind,Hip-Hop,18086
366,Boy high dream such,Hip-Hop,19042
367,East,Electronic,3752
368,Benefit offer color,Hip-Hop,12369
369,Space run leader,Electronic,13631
370,Positive,Pop,11158
371,Page unit,Hip-Hop,3513
372,Area leg growth tax,Rock,6302
373,Past model husband,Pop,3711
374,Hope dream throw,Jazz,13645
375,Third certain,Hip-Hop,11112
376,Attorney production once,Hip-Hop,16644
377,Various yeah,Rock,7661
378,Animal approach bit,Pop,12156
379,Agreement itself,Electronic,14654
380,Know mind music,Hip-Hop,10439
381,War ability,Hip-Hop,17584
382,Public military,Rock,6915
383,Yet program,Rock,17128
384,Season perhaps,Jazz,17385
385,Today,Hip-Hop,11677
386,Child method into,Hip-Hop,3797
387,Education kitchen huge,Electronic,1698
388,May difficult,Pop,9182
389,Oil someone will,Hip-Hop,11023
390,Republican after against,Rock,19849
391,College month,Hip-Hop,12634
392,End increase,Pop,8903
393,Positive little region,Jazz,7277
394,Long eye,Electronic,2051
395,Street argue,Electronic,17710
396,Hold tell one,Pop,12190
397,Real,Electronic,911
398,Science particularly with,Hip-Hop,19042
399,Week poor,Rock,11720
400,Heart north,Pop,15693
401,Risk listen,Rock,11462
402,Gun carry performance,Rock,657
403,Poor society,Jazz,7940
404,Degree thought,Jazz,3449
405,Change top commercial,Electronic,2095
406,Audience attack walk,Pop,7635
407,Center early home star,Hip-Hop,9282
408,Sing far paper environment,Jazz,8225
409,Member like worker speech,Electronic,19047
410,Executive me stage,Pop,8698
411,Walk college people,Jazz,19792
412,Reveal next hotel,Pop,16100
413,Push either,Rock,619
414,As remain,Hip-Hop,1210
415,Interesting source building,Hip-Hop,4930
416,Employee know,Rock,4824
417,Agency just reflect,Hip-Hop,11152
418,Home painting,Rock,5174
419,Only vote,Jazz,5601
420,Only role happy,Rock,6947
421,Interest market public,Pop,12505
422,Foreign natural mention,Jazz,4077
423,Compare involve road,Rock,10151
424,Into less state,Hip-Hop,929
425,Provide total book,Rock,6562
426,Mr agent several,Jazz,14330
427,Sell offer,Jazz,2886
428,Area,Electronic,5991
429,Yeah,Rock,3275
430,Staff,Jazz,103
431,Recognize catch,Electronic,1704
432,Every appear,Pop,4830
433,Call young myself,Rock,13990
434,Red,Rock,12301
435,Guess different put,Hip-Hop,18504
436,My,Jazz,16887
437,As sure lose,Rock,17881
438,Suffer a knowledge,Pop,12225
439,Air pay,Hip-Hop,5230
440,Join particularly enter,Pop,816
441,Participant dog consumer blood,Electronic,2559
442,Also development,Jazz,16566
443,Bit Republican,Hip-Hop,1100
444,Dream sit,Jazz,15046
445,Man produce defense age,Jazz,357
446,Money same,Hip-Hop,5457
447,Economy white recently,Electronic,12679
448,Site minute likely,Jazz,16846
449,Think probably set appear,Electronic,15482
450,Area nor,Rock,25
451,Three decade protect,Pop,5842
452,Watch figure sign,Hip-Hop,7291
453,Close prepare establish,Hip-Hop,15499
454,Production sport,Hip-Hop,7933
455,Particular decade,Hip-Hop,1521
456,Company one,Rock,3814
457,Meet everybody opportunity,Pop,2608
458,Clear across,Pop,19100
459,From produce,Electronic,3625
460,Administration,Pop,17685
461,Step take,Hip-Hop,5449
462,Way degree,Pop,7481
463,Buy under,Rock,10833
464,Play daughter,Jazz,2563
465,Most property,Rock,4858
466,Song,Jazz,4095
467,Thought more future,Hip-Hop,17546
468,Often house,Jazz,14436
469,What citizen,Rock,16502
470,Sport five opportunity career,Rock,1733
471,Argue help,Hip-Hop,18996
472,Group,Pop,18222
473,Close green air,Pop,16834
474,Book alone,Electronic,11110
475,Family member,Pop,13519
476,Thought development thank environmental,Hip-Hop,135
477,Job address month,Hip-Hop,18573
478,Exactly recently,Hip-Hop,15803
479,Hotel worker generation,Pop,16292
480,Box go,Pop,7163
481,Community direction where,Electronic,11973
482,For,Electronic,3524
483,Take military keep,Rock,355
484,Stock father lot,Rock,3208
485,Southern where add agree,Pop,17694
486,Task,Electronic,16906
487,Week someone together,Electronic,15957
488,Newspaper child size,Pop,1865
489,Week majority argue,Pop,8518
490,So discover owner,Pop,11071
491,Before,Electronic,16801
492,Network one,Jazz,8908
493,Ago save interesting,Rock,15614
494,Voice true American,Jazz,9643
495,Security very send collection,Pop,7408
496,Read outside believe,Rock,4553
497,Their television,Pop,8941
498,And only,Jazz,14441
499,Admit throw,Pop,15683
500,Daughter night,Hip-Hop,16469
501,Big finally popular,Hip-Hop,64
502,Law fear whose me,Electronic,13972
503,Movie past,Jazz,3625
504,Include subject,Hip-Hop,12282
505,Everyone fish,Electronic,1557
506,Sort,Electronic,16375
507,I point institution,Hip-Hop,3476
508,Able thing modern,Electronic,6912
509,Exactly whatever official lawyer,Pop,4188
510,Computer,Jazz,12484
511,Argue begin,Rock,736
512,Conference continue,Rock,6191
513,Short image police,Pop,7394
514,Feel head,Hip-Hop,2080
515,Blood commercial,Electronic,18113
516,Learn year,Pop,11078
517,Social research,Jazz,1645
518,Property wind rate,Electronic,17764
519,International loss,Rock,13020
520,Different pattern according,Jazz,13632
521,Stop business,Hip-Hop,17058
522,Style tax,Rock,9820
523,Camera commercial generation,Rock,11319
524,Condition record wrong serious,Hip-Hop,18965
525,Particularly Republican,Hip-Hop,1717
526,Item likely,Pop,19886
527,Former much home,Hip-Hop,16219
528,Black few strong,Pop,17796
529,Son high after,Electronic,5453
530,Clear film course,Pop,2074
531,Watch little fight,Hip-Hop,456
532,At bed ground,Hip-Hop,10228
533,Set no,Hip-Hop,6084
534,Success summer discover much,Jazz,14205
535,Also sport,Pop,13055
536,Member return long,Rock,3996
537,Save future represent,Electronic,14366
538,Chance last,Rock,13311
539,Guess find,Electronic,14749
540,Surface area move,Jazz,11146
541,House late,Electronic,4291
542,Same business produce,Electronic,15471
543,How tree once,Pop,11773
544,Budget commercial,Rock,15632
545,Teacher guess,Jazz,7739
546,My alone employee,Hip-Hop,11172
547,Our toward American,Electronic,19235
548,Bag,Rock,14094
549,Cold,Hip-Hop,8318
550,Process identify,Jazz,8331
551,Need huge dark class,Electronic,6495
552,Father discover decision,Pop,15384
553,Economic present,Electronic,640
554,Good authority challenge,Hip-Hop,3053
555,Light size,Hip-Hop,17757
556,Inside foot whole,Pop,14665
557,Dream with,Hip-Hop,18437
558,Floor scene,Pop,723
559,Claim exist,Hip-Hop,6319
560,Fear check management,Pop,10661
561,Edge energy woman,Hip-Hop,19370
562,Reach,Electronic,2063
563,Source sound,Electronic,4263
564,Market now,Pop,12350
565,Ready despite fund,Rock,1609
566,Position theory assume,Rock,5309
567,Every she,Rock,11000
568,Sport TV,Rock,15138
569,Very dinner fund air,Jazz,6722
570,Support hear majority one,Pop,517
571,Live year for,Pop,9107
572,Minute else detail itself,Pop,436
573,Sometimes just,Hip-Hop,14003
574,Out wonder,Hip-Hop,2302
575,Another prevent without,Hip-Hop,3340
576,Respond doctor,Rock,13324
577,Congress guess policy,Electronic,1128
578,Edge understand,Rock,10439
579,Discuss history,Jazz,6699
580,Hour move,Pop,11043
581,Student between manager,Hip-Hop,7484
582,Sort,Hip-Hop,13009
583,Model carry head,Hip-Hop,10724
584,Student public,Jazz,1769
585,Company know fast expect,Electronic,8730
586,Risk second week,Jazz,13110
587,Especially direction,Pop,9542
588,Popular property,Hip-Hop,94
589,Church age,Rock,13052
590,Ahead,Electronic,8673
591,Media above,Jazz,12088
592,Agent key,Jazz,10895
593,Become attention central,Rock,14334
594,Century,Hip-Hop,17145
595,Statement both,Hip-Hop,6750
596,Set,Pop,16783
597,Do too magazine,Electronic,16465
598,Six occur when,Hip-Hop,1825
599,Writer maybe,Jazz,11507
600,Drop hope,Electronic,19190
601,Work week,Rock,4310
602,Young whom,Jazz,16339
603,Simple take,Hip-Hop,1667
604,Near growth,Pop,7357
605,Your writer,Pop,67
606,Reach,Electronic,13385
607,Throughout themselves,Hip-Hop,11852
608,None listen plant,Electronic,9595
609,Turn some,Hip-Hop,6589
610,Under far major,Electronic,18175
611,Test certain,Pop,14030
612,Head better,Electronic,1967
613,Near continue certainly,Hip-Hop,13054
614,Left,Electronic,15294
615,Year director reflect,Pop,18208
616,Couple chair,Rock,2319
617,We a,Electronic,5910
618,Yet low series case,Hip-Hop,2090
619,Fact detail company,Rock,2738
620,Maintain red himself,Jazz,9134
621,Job section,Pop,11542
622,Business throw card,Jazz,9886
623,Wonder different,Jazz,19793
624,Floor great,Hip-Hop,7495
625,Half,Rock,19185
626,Wife lay black,Electronic,14675
627,To watch,Rock,12484
628,State account,Pop,475
629,American commercial,Electronic,15712
630,Main population peace,Pop,9257
631,Always relationship fear,Electronic,7109
632,Company pressure walk,Hip-Hop,19534
633,Material cup,Electronic,19091
634,Read them full,Jazz,18626
635,Pressure sign high,Rock,7683
636,Build top nation talk,Electronic,6619
637,Current walk,Rock,696
638,Open this church fact,Rock,18751
639,Between sure information,Hip-Hop,2060
640,Follow list of,Pop,8380
641,Much dream,Hip-Hop,10679
642,Truth,Rock,78
643,They these movie,Electronic,8292
644,Middle doctor,Pop,8919
645,Talk when,Hip-Hop,11114
646,Need,Rock,19969
647,Result help tell,Rock,1797
648,Sometimes be,Hip-Hop,14319
649,Appear rule,Hip-Hop,15112
650,Clearly pass,Electronic,15614
651,Him coach everything behavior,Pop,1431
652,Value store,Jazz,12032
653,Throughout tree sign,Pop,313
654,Natural environmental method economy,Jazz,16617
655,New explain way,Hip-Hop,968
656,Color south inside house,Rock,12249
657,Page college key,Electronic,10159
658,Speak plant decade,Pop,9090
659,Prepare clearly within,Jazz,13231
660,Pull grow style,Pop,12719
661,Memory,Hip-Hop,8774
662,Environment business inside capital,Pop,17424
663,Make plan,Hip-Hop,14412
664,Ready say bring financial,Rock,6103
665,Rest treatment,Jazz,17638
666,Lot inside black brother,Hip-Hop,2426
667,North simple,Rock,3524
668,Catch push,Electronic,5852
669,Control score,Hip-Hop,4849
670,Fire now,Electronic,15723
671,Hope run,Electronic,10582
672,Finish operation a box,Rock,8465
673,Story media deep,Pop,16809
674,Smile join friend,Pop,6439
675,Evidence discover,Pop,14157
676,Boy woman song,Electronic,1704
677,Of Congress letter,Electronic,6406
678,Six show sell old,Jazz,1833
679,Cup,Hip-Hop,792
680,Democratic south,Jazz,3672
681,Often thousand,Jazz,18649
682,Difficult,Hip-Hop,1844
683,Theory whatever nation,Pop,6713
684,Become especially end instead,Electronic,6929
685,Best hour,Electronic,12225
686,Agency,Electronic,10594
687,Some institution various,Pop,11552
688,Your write,Rock,19870
689,Process,Rock,17
690,Risk process traditional,Pop,102
691,Rise despite,Hip-Hop,994
692,Statement series in,Jazz,12486
693,Over third grow,Jazz,19771
694,Expect southern,Rock,15538
695,Traditional and we,Pop,17548
696,Six some,Electronic,6878
697,Big begin remember,Electronic,6043
698,Also moment,Electronic,2563
699,Instead,Rock,8437
700,Message join tough,Pop,8063
701,Than nearly media,Jazz,16302
702,Collection require sometimes,Pop,13224
703,Artist follow,Electronic,4097
704,Owner but technology,Jazz,14504
705,Best good peace,Pop,13268
706,Economic between,Electronic,7320
707,Bar available than,Pop,18595
708,Kid base,Pop,11911
709,Air beautiful marriage,Hip-Hop,18896
710,Traditional popular,Hip-Hop,14178
711,Bar open race,Pop,8920
712,Music truth sort significant,Pop,9337
713,Human evidence open,Electronic,2664
714,Rich paper line,Electronic,18660
715,Somebody son,Pop,2295
716,Onto throw paper rich,Rock,9198
717,Those turn,Electronic,17110
718,Analysis accept lawyer,Jazz,10419
719,Opportunity kind,Pop,7940
720,Gas food,Hip-Hop,16744
721,Project take group,Jazz,19284
722,Whole buy,Electronic,14107
723,Her effort,Rock,13423
724,Tend carry,Hip-Hop,6249
725,Truth,Electronic,13390
726,Current certain,Pop,11227
727,Learn teacher,Pop,18413
728,Recognize south,Pop,4643
729,Method that,Electronic,14718
730,Family board behavior,Rock,1597
731,Better note,Pop,8619
732,Sell,Jazz,2036
733,Truth,Pop,9659
734,Congress budget cut college,Jazz,11988
735,Teach write nothing,Electronic,7313
736,Suddenly night political,Rock,11742
737,Next trial thought,Pop,9413
738,Population power,Hip-Hop,13603
739,Appear people ten reality,Jazz,4512
740,Region summer growth,Hip-Hop,18996
741,Spring,Rock,10659
742,Whose bring,Pop,3381
743,Similar population,Hip-Hop,19167
744,Yard phone prepare,Rock,5937
745,Line back less,Electronic,9060
746,Item program quickly,Jazz,14338
747,Country opportunity because,Electronic,13839
748,Like address,Jazz,15012
749,World sure,Jazz,1932
750,Myself,Electronic,3095
751,Others mother,Rock,8484
752,Drop news,Electronic,3070
753,Summer significant,Rock,13467
754,Near carry,Jazz,4685
755,Suffer pressure,Rock,5598
756,Go understand,Pop,4014
757,With,Electronic,5493
758,Increase surface,Pop,12918
759,Imagine wonder region,Pop,4660
760,Forward raise feeling,Jazz,5292
761,Box sea owner,Electronic,17347
762,Character go we,Rock,14095
763,Try leader,Jazz,8630
764,Throw town necessary,Jazz,19392
765,Administration turn,Rock,12159
766,Modern government upon,Pop,6159
767,Such ready series,Pop,1629
768,Dinner certain cover over,Rock,1792
769,Current person since,Rock,17488
770,Name,Rock,9084
771,Middle performance government,Jazz,8196
772,Finally,Hip-Hop,10570
773,Third watch family,Rock,5376
774,Different wear,Rock,12486
775,Environment performance last,Jazz,13224
776,Develop little,Pop,17223
777,Too speak food truth,Hip-Hop,17595
778,Whose mouth enough recent,Electronic,14686
779,Onto tonight owner,Rock,5676
780,Many hear new executive,Rock,9832
781,Strategy goal,Jazz,9971
782,Thing expert,Pop,2822
783,Help possible,Pop,9010
784,Difference guy,Rock,3353
785,Ready memory energy,Jazz,16142
786,Bit husband,Electronic,17516
787,Activity strategy return,Hip-Hop,11767
788,Property happy office,Electronic,4737
789,Can animal,Electronic,4503
790,Skill specific,Pop,17636
791,Central there sing,Electronic,2566
792,Chair put during,Jazz,4175
793,School fact,Pop,14915
794,Democrat mouth focus visit,Jazz,8219
795,Rock anything actually cut,Electronic,6374
796,Radio character,Jazz,9114
797,Back,Jazz,7663
798,Teacher year production lawyer,Electronic,6434
799,Garden participant never various,Hip-Hop,4750
800,Concern her,Hip-Hop,17506
801,Through week,Pop,14377
802,Down image wall,Hip-Hop,213
803,Get star,Electronic,11637
804,Special military compare,Pop,15996
805,Others improve,Jazz,4612
806,Financial paper,Pop,6645
807,Production between couple record,Electronic,3783
808,Change sing point,Jazz,11278
809,While drop,Pop,6195
810,Cost experience,Pop,16790
811,Personal force bar,Pop,13912
812,Some although true,Hip-Hop,1296
813,Sing easy,Electronic,17242
814,Financial as degree visit,Hip-Hop,12693
815,Work so consider,Jazz,1291
816,Number both,Rock,18
817,Reason artist section,Pop,11545
818,Bag late,Hip-Hop,4884
819,Box enjoy team,Electronic,11246
820,Gas federal item,Electronic,7712
821,Dream send finally,Electronic,9034
822,Animal,Jazz,590
823,Another this whatever,Pop,6003
824,Check fund area,Pop,7919
825,You although,Hip-Hop,16901
826,Course war,Jazz,1341
827,Mrs agreement,Rock,14663
828,Soldier detail believe us,Jazz,10297
829,Point evening build,Electronic,17452
830,Animal recently spend often,Electronic,10197
831,Other safe anyone,Jazz,19182
832,Speak huge,Pop,8136
833,Describe each,Hip-Hop,11768
834,Art cup management,Hip-Hop,1620
835,Imagine agree,Jazz,19927
836,Short although,Hip-Hop,17409
837,Pay include power,Rock,7176
838,Where trouble media,Hip-Hop,12118
839,Only environmental human,Electronic,14339
840,The present together,Hip-Hop,3768
841,Bill show table,Jazz,19295
842,His city investment,Rock,12924
843,Rise,Jazz,5960
844,Good suggest success,Jazz,1768
845,Personal it of someone,Pop,6154
846,Wrong military report,Electronic,19264
847,Letter seat summer without,Hip-Hop,3664
848,A station,Electronic,4382
849,College seven picture,Jazz,9414
850,Maybe class meeting,Pop,16564
851,Against,Pop,17560
852,Spend my,Rock,10718
853,Cut home,Rock,3965
854,Notice particularly,Pop,10815
855,Into help institution,Jazz,18073
856,Discover message mouth,Pop,6261
857,Race capital speak,Pop,13495
858,Resource,Electronic,1784
