user_id,nombre_artistico,genero_principal
355,Sabrina Nguyen,R&B
356,Amy Barker,Electronic
357,Jesus Davis,R&B
358,Amy Silva,Folk
359,James Hammond,R&B
361,Derrick Moore,Rock
362,Daniel Castillo,Hip Hop
368,Wesley Miller,Hip Hop
369,Barry Pham,Electronic
378,Brenda Elliott,Blues
387,Megan Smith,Hip Hop
389,Michele Jones,Blues
390,Lindsay Acevedo,Country
391,Andrew Davis,R&B
392,Mark Tapia,Blues
397,Kyle Smith,Country
398,Jeffrey Lewis,Blues
399,Samantha Adkins,Reggae
401,Francis Yang,Electronic
418,Cory Nguyen,Electronic
419,Jennifer Dean,Rock
427,Rebecca Morris,Metal
428,Miguel Bennett,Country
434,John Roberts,Rock
441,Michael Vargas,Folk
443,Ashley Valdez,Country
444,Tiffany Collins,Blues
445,Vicki Ray,Electronic
448,Lance Hoffman,Electronic
451,Angel Holmes,R&B
452,Jennifer Alexander,Classical
457,Dustin Boyer,Country
458,Margaret Ortiz,Rock
459,Danielle Walker,Rock
466,Denise Wells,Hip Hop
473,Kimberly Schultz,Electronic
474,Holly Malone,Classical
475,Dawn Carson,Rock
479,Ashley Johnson,Jazz
480,Lauren Webb,Jazz
487,Amy Cooper,Country
489,Jerry Stafford,Hip Hop
490,Brad Bernard,Country
491,Candice Garza,R&B
495,Michael Baker,Jazz
496,Shannon Bishop,Blues
497,Amanda Sharp,Pop
500,Jeremy Ramirez,Country
501,Kristin Nixon,R&B
503,Susan Collins,Country
506,Brittany Freeman,Classical
507,Carol Gutierrez,Pop
509,Joseph Lawson,Country
516,Kenneth Villanueva,Electronic
518,James Jenkins,Country
519,Christina Hayes,Country
522,Matthew Reynolds,Pop
523,Drew Rosario,Blues
531,Megan Walton,Classical
534,Richard Smith,Hip Hop
535,Amanda Patel,Rock
537,Ronald Simon,Metal
553,John Nelson,Country
556,Teresa Taylor,Jazz
557,Parker Patterson,Reggae
558,Michael Walker,Reggae
561,Matthew Myers,Jazz
568,Kayla Wilson,Reggae
571,Kristi Bright,Metal
579,Leslie Sutton,Metal
581,Anthony Roberts,R&B
583,Phyllis Clayton,Pop
585,Christopher Benjamin,Jazz
586,Mark Cooke,Jazz
590,Patricia Bond,Jazz
592,Joshua Chase,Jazz
594,Kelly Rosario,Metal
595,Andrew Robertson,Metal
597,Kaitlyn Brown,Classical
599,Alexander Lewis,Folk
602,Chase Murphy,Country
603,Michael Valencia,Blues
607,Tamara Sexton,Reggae
609,Jason Ramirez,Hip Hop
614,Daniel Phillips,Electronic
622,Jay Williams,Electronic
623,Mark Lucas,Classical
628,Kyle Turner,Metal
629,Eric Smith,Metal
630,Carol Hutchinson,Country
633,Tonya Park,Electronic
636,Kirsten Lamb,Metal
642,Amy Mendoza,Electronic
659,John Singleton,Metal
662,Joanna Ortiz,Folk
663,Darryl Lindsey,Rock
669,Patricia Ashley,Metal
670,Diana Patton,Folk
672,Kyle Gregory,Blues
673,Mary Valentine,R&B
674,Edward Moore,Classical
677,Brian Banks,Reggae
678,Brett Dean,R&B
683,Paul Smith,Country
694,Colin Hays,Classical
695,Kelly Johnson,Reggae
699,Carrie Cole,Reggae
701,Jorge Key,Rock
702,Amy Harrison,Reggae
708,Charles Thomas,R&B
709,Amy Jimenez,R&B
713,Kenneth Webb,Reggae
714,Crystal Padilla,Jazz
717,Robert Jacobs,Hip Hop
718,Megan Gillespie,Metal
720,Tonya Manning,Metal
724,Erik Lucas,R&B
726,Mark Oliver,Metal
728,Benjamin Nelson,Metal
731,Cynthia Rodriguez,Rock
732,Joseph Espinoza,Reggae
733,Melissa Ray,Electronic
735,David Wilkins,Folk
740,Benjamin Hill,Classical
755,Christina Collier,R&B
758,Christina Mullins,Pop
759,Joel Eaton,Hip Hop
761,Amanda Peterson,Jazz
763,Angela Wagner,Jazz
764,Steven Knox,Reggae
766,Bill Vazquez,Classical
767,Brandon Ritter,Hip Hop
776,Mary Pope,Metal
782,William Valencia,Classical
790,Thomas Shaffer,Electronic
791,Tyler Smith,Blues
794,Carol Martinez,Jazz
798,Thomas Mcdowell,Hip Hop
799,Heidi Graves,Hip Hop
801,James White,Rock
803,Nicole Larson,Jazz
808,Janet Marsh,Blues
812,Misty Day,Metal
815,Sarah Carr,R&B
819,Cindy Cohen,Reggae
823,David Carson,Pop
829,Justin Vega,Metal
836,Theresa King,R&B
842,Christine Myers,R&B
846,Daisy Pearson,Classical
848,Renee Jordan,Blues
849,Jaclyn Lee,Jazz
852,Michelle Stevens,Classical
853,Timothy Johnson,Folk
863,Brent Ramirez,R&B
866,Ruth Sims,Hip Hop
869,Connor Hoover,Country
873,Aimee Jones,Blues
874,Sherry Brock,Reggae
884,John Cook,R&B
885,Lori Shaw,Jazz
886,Jacob Anderson,Hip Hop
887,Michael Baker,R&B
891,Tyler Mcmillan,Metal
892,Michelle Baird,Hip Hop
897,Michael Peterson,Classical
898,Erica Best,Pop
900,Abigail Burns,Metal
901,Kenneth Dawson,Hip Hop
915,Taylor Moore,Blues
917,Bianca Martin,Country
918,Eric Newman,Metal
925,Richard Boyd,R&B
932,Bethany Harrell,Jazz
934,Melissa Vaughan,Electronic
938,Morgan Stark,R&B
939,Brittney Douglas,Jazz
940,Amanda Mccoy,Metal
942,Jeff Smith,Folk
947,Lisa Roberts,Metal
955,Garrett Jackson,Pop
962,Stephanie Johnston,Hip Hop
963,Victor Castillo,Classical
968,Valerie Rodriguez,Reggae
969,Kimberly Salazar,Rock
977,Richard Thomas,Hip Hop
983,Alyssa Hopkins,Metal
985,Brian Conley,Folk
992,Linda Garcia,Metal
996,Michael Norton,Rock
998,Kimberly Collins,Rock
999,Brandon Washington,Electronic
1000,Robert Pugh,Pop
1001,Mario Dixon,Hip Hop
1002,Kirsten Hunt,R&B
1006,Darrell Smith,Electronic
1014,Peter Rush,Electronic
1017,John Brown,Metal
1019,Alyssa Cortez,Blues
1020,Devin Norman,Rock
1023,Stephen Coleman,Metal
1028,Steven Charles,Classical
1032,Jamie Anthony,Blues
1041,Leslie Harrison,Blues
1042,Brandon Mosley,Classical
1044,Nathan Bryant,Electronic
1045,Erica Santos,Rock
1048,Samantha Murray,Folk
1049,Tammy Turner,R&B
1050,Steven Holland,Hip Hop
1056,Frances Daugherty,Hip Hop
1062,Leah Ellis,Blues
1065,John Foster,Rock
1067,Christina Cole,Rock
1073,Melissa Orozco,Jazz
1074,Lauren Richard,Pop
1082,Adrienne Brown,Rock
1085,Jose Smith,Blues
1090,Leslie Hart,Reggae
1091,David Obrien,Rock
1095,Steven Jackson,Electronic
1097,Melissa Fischer,Electronic
1098,Kurt Williams,Country
1099,Jonathan Ward,Rock
1101,Christine Richardson,Classical
1105,Matthew Brady,Reggae
1107,Penny Gray,Jazz
1108,Michael Mitchell,Hip Hop
1111,Blake Wilson,Metal
1113,Diana Garcia,Jazz
1116,Bradley Mendoza,Hip Hop
1119,Curtis Goodwin,Pop
1122,Daniel Sanchez,R&B
1123,Adrian Garza,Reggae
1124,Jeanette Cantu,Rock
1125,Phillip Copeland,Metal
1127,Danielle Reed,Folk
1129,Michael Mcmahon,Folk
1130,Michelle Kelly,Folk
1132,Chris Berry,Pop
1134,Mary Rogers,Classical
1135,Christina Price,Hip Hop
1136,Melissa Hansen,Blues
1137,Grant Thomas,Blues
1138,Brittany Cook,Hip Hop
1139,Julie Moore,Rock
1143,Paul Spence,Classical
1144,Brandon Farrell,Pop
1146,John Garcia,R&B
1150,William Robinson,Pop
1152,Courtney Stanton,Folk
1155,Daniel Saunders,Metal
1157,Marvin Leach,Electronic
1161,Mary Harris,Classical
1164,James Sanchez,Rock
1166,Alexa Lee,Electronic
1168,Marie Harris,Reggae
1170,Christina Martin,Metal
1178,Denise Martinez,Folk
1180,Mary Cooper,Pop
1181,Jennifer Bowman,Pop
1187,Michael Kennedy,R&B
1190,Meghan Flores,Folk
1192,Thomas Green,Folk
1193,Alicia Trujillo,Reggae
1199,Bethany Velez,R&B
1203,Sandra Poole,Classical
1205,Kathy Cook,Rock
1209,Vincent Evans,Electronic
1217,Heather Forbes,Jazz
1219,Robert Sanchez,Folk
1221,Kathleen Brown,Metal
1222,Linda Dudley,Pop
1229,Charles Delgado,Rock
1231,Brandon Diaz,Folk
1233,Barbara Moore,Reggae
1240,Robert Brock,Reggae
1245,Brandy Houston,Reggae
1257,Christopher Weiss,Pop
1261,Allison Smith,Reggae
1262,Jennifer Ford,Rock
1265,Michael Buck,Jazz
1267,Jeremy Crawford,Country
1269,Brian Curtis,Country
1272,Mark Serrano,Jazz
1273,Jeanne Gallegos,Folk
1276,Alexander Pace,Electronic
1278,Valerie Cordova,Hip Hop
1279,Tiffany Freeman,Electronic
1281,Karen Martinez,Jazz
1282,Matthew Collins,R&B
1285,Tracy Ryan,Electronic
1289,Caitlin Shepherd,Classical
1293,Christina Johnson,Blues
1294,Derek Williams,Metal
1300,Travis Harris,Folk
1303,Jacob Robinson,Electronic
1309,Eric Ramirez,Jazz
1311,Kristy Wheeler,R&B
1312,Heather Estrada,Blues
1315,Robert Johnson,Country
1319,James Ibarra,Rock
1323,Rose Lynch,Hip Hop
1324,Ruben Morse,Jazz
1326,Sharon Ayala,Reggae
1327,Ryan Black,Rock
1330,Manuel Stafford,Hip Hop
1332,Carrie Barajas,Blues
1335,Matthew Caldwell,Classical
1338,James Pratt,Reggae
1342,Angela Vasquez,Folk
1349,Wanda Anderson,Folk
1355,Autumn Bryant,Electronic
1356,Johnathan Young,Hip Hop
1360,Matthew Jenkins,Jazz
1366,Ashley Woods,Metal
1369,William Johnson,Pop
1370,Jack Figueroa,Metal
1375,Heather Nelson,Folk
1382,Matthew Bailey,Hip Hop
1383,Valerie Kelley,Jazz
1385,Jodi Holder,Rock
1386,Erika Kaufman,Rock
1393,Jeffrey Dalton,Rock
1394,Richard Beck,Pop
1396,Jerry Wall,Electronic
1398,David Hernandez,R&B
1400,William Smith,Folk
1403,Brett Eaton,Blues
1409,Douglas Douglas,Hip Hop
1414,Sara Gomez,Blues
1417,Corey Compton,Reggae
1419,Erik Benson,Reggae
1422,Thomas Robinson,Pop
1428,Mark Morrison,Rock
1430,Joseph Scott,Metal
1432,Sophia Klein,Classical
1433,Phillip Gibson,Country
1434,Kevin Young,Metal
1435,Tammy Russell,Classical
1437,Kelly Jones,Reggae
1440,Allen Sparks,Jazz
1442,Crystal Sims,Folk
1454,Amanda Walker,Electronic
1457,Steven Juarez,R&B
1462,Preston Fernandez,Hip Hop
1464,Michael Reynolds,Jazz
1465,Kayla Cole,R&B
1468,Emily Rodriguez,Pop
1469,Jaclyn Collins,Classical
1471,Hayley Jackson,Blues
1472,Kevin Sanchez,Rock
1473,Maria Castro,Metal
1474,Lori Fletcher,Hip Hop
1475,Jennifer Knox,Pop
1477,Dustin Reed,R&B
1480,Andrea Stanley,Hip Hop
1485,Molly Stark,Reggae
1489,Danielle Maldonado,Electronic
1500,Kathryn Lozano,Hip Hop
1501,Randy Wolf,Electronic
1503,Molly Gray,Hip Hop
1504,James Curry,Metal
1507,Debbie Thomas,Pop
1508,Erika Gibson,Jazz
1509,Amy Arellano,R&B
1513,Jessica Moreno,Metal
1517,Amy Martinez,Pop
1522,Bradley Cannon,Country
1523,Curtis Lawson,Classical
1527,Brianna Williamson,Folk
1528,Nathan Garcia,Metal
1529,Shannon Schneider,Classical
1532,Joshua Townsend,Electronic
1538,Anna Walker,R&B
1539,Nathaniel Franco,Blues
1541,Mia Curry,Rock
1542,Gordon Rios,R&B
1543,Marco King,Hip Hop
1553,Julie Cole,Metal
1557,Donald Bates,Pop
1559,Alison Frank,Rock
1567,Brian Thomas,Blues
1568,Cody Stein,Metal
1571,Wendy Parker,Folk
1573,William Williams,Blues
1574,Angela Reynolds,Reggae
1577,Joyce Baker,Folk
1578,Rachael Flores,Jazz
1582,Sarah Blankenship,Folk
1586,Michael Porter,Pop
1590,Nicole Hancock,Country
1593,Stephanie Hogan,Reggae
1599,Linda Reeves,Blues
1600,Lorraine Hall,Electronic
1603,Jeffrey Duncan,Pop
1605,Theresa Ochoa,Country
1610,Sara Nielsen,Country
1621,Mary Pearson,Classical
1622,Heather King,Jazz
1625,Carolyn Baldwin,Metal
1626,Gary Gilmore,Blues
1628,Sean Price,R&B
1632,Deborah Hess,Jazz
1636,Derek Martinez,Reggae
1637,Jennifer Wood,Electronic
1638,Michael Smith,Folk
1641,Heidi Johnson,Pop
1645,Casey Anderson,Hip Hop
1651,Tiffany Gonzalez,R&B
1659,Ronnie Burns,Rock
1660,Thomas Clark,Reggae
1664,Patrick Sanchez,Folk
1666,Jennifer Riley,Hip Hop
1670,Paula Cunningham,Hip Hop
1672,Traci Gomez,Reggae
1673,Michele Moody,Electronic
1674,Mckenzie Gamble,Country
1675,Ashley Martinez,R&B
1680,Kyle Hines,Pop
1683,Victor Smith,Country
1689,James Edwards,Rock
1692,Eric Wilson,Hip Hop
1700,Kevin Bailey,Electronic
1705,Joseph Summers,Jazz
1706,Dean Turner,Blues
1709,Connor Tate,Hip Hop
1710,Kristen Johnson,Folk
1714,Adam Hodge,Classical
1716,Cindy Kelly,Blues
1718,Stephanie Lopez,Classical
1719,Jennifer Bailey,Electronic
1720,Diane Wallace,Classical
1723,Kimberly Ponce,Electronic
1724,Melanie Moore,Classical
1734,Becky Mullins,Metal
1735,Andrew Hall,Electronic
1746,David Taylor,Jazz
1747,Tanya Webb,Jazz
1748,Courtney Lee,Electronic
1754,Reginald Simon,Folk
1756,Stephanie Beck,Blues
1757,Evelyn Mccann,Folk
1760,Nichole Gordon,Classical
1761,James Parsons,Classical
1764,Wendy Davis,Electronic
1767,Tasha Roman,Blues
1771,Sarah Choi,Reggae
1773,Susan Hayes,Hip Hop
1777,Allison Grant,Blues
1778,Andrew Ortega,R&B
1786,Julie Howard,Metal
1788,Sharon Wagner,Hip Hop
1790,Christopher Yates,Classical
1791,Nicole Butler,Blues
1794,Nicole Jones,Electronic
1796,Alexander Willis,Blues
1804,Michael Moore,Metal
1811,Christopher Garcia,Reggae
1819,Lisa Dominguez,Blues
1821,Janice Brown,Electronic
1828,Dennis Johnson,Pop
1829,Richard Love,Folk
1830,Juan Martinez,Reggae
1832,Joshua Kelly,Hip Hop
1833,Todd Munoz,R&B
1834,Debra Marquez,Country
1839,Christopher Lopez,Hip Hop
1845,Mary Henderson,Country
1856,Alexandra Koch,Country
1857,Walter Torres,Hip Hop
1864,Lawrence Moran,Reggae
1866,Michael Stephens,Rock
1868,Ryan Montoya,Folk
1869,Timothy Henderson,Metal
1873,Jamie Rogers,Electronic
1889,Brian Thompson,Rock
1893,Heather Savage,Country
1895,Chelsea Hernandez,Rock
1905,Deborah Lloyd,Country
1907,Thomas Jones,Classical
1912,Elizabeth Morris,Blues
1921,Katie Butler,Electronic
1924,Stephanie Hood,R&B
1931,Jacob Burnett,Reggae
1932,Melissa Jones,Folk
1936,Timothy Lewis,Metal
1942,Daniel Martinez,R&B
1945,Jason Brandt,Rock
1947,John Oconnor,Folk
1951,Philip Howard,Country
1953,Luis Taylor,Hip Hop
1954,James Holt,Jazz
1955,Annette Garcia,Hip Hop
1957,Michael Allison,Classical
1958,Brian James,Reggae
1963,Steven Roberts,R&B
1965,Nancy Day,Hip Hop
1968,Sandra Robinson,Pop
1969,Daniel Brown,Reggae
1970,Gabrielle Patterson,Pop
1974,Valerie May,Metal
1975,Michael Clark,Jazz
1985,George Mcgrath,Classical
1987,Denise Simmons,Reggae
1993,Brittany Wilkins,R&B
1996,Jeffrey Wolf,Blues
2001,Jeffrey Alvarez,Rock
2002,Ashley Irwin,Metal
2005,Charles Brown,Reggae
2007,Mary Anthony,Classical
2008,Shawn Peterson,Rock
2009,Tina Boone,Hip Hop
2012,Ryan Bush,Jazz
2014,Thomas Anderson,Rock
2019,Heather Foster,Hip Hop
2026,Amy Navarro,Hip Hop
2028,Elaine Jones,Pop
2031,Tiffany Moss,Country
2035,Michael Fritz,R&B
2045,Scott Williams,Metal
2053,Bradley Villarreal,Blues
2054,Sandra Jones,Hip Hop
2059,James Simpson,Pop
2060,Angela Branch,Electronic
2061,Sarah White,Jazz
2069,Ronald Crawford,Reggae
2078,Amanda Berg,Electronic
2081,Terrance Martinez,Folk
2083,Mark Ortega,Classical
2087,Thomas Young,Pop
2089,Kara Smith,Country
2090,David Flores,Rock
2093,Shannon Carter,Classical
2094,Travis Anderson,Rock
2097,Katherine Pearson,Classical
2106,Bryan Gordon,Blues
2111,Sandra Williams,Rock
2117,Kari Hernandez,R&B
2118,Walter Parks,Hip Hop
2123,Laura Richards,Classical
2128,Alyssa Miles,Metal
2129,Ashley Jacobs,Hip Hop
2138,Debra Bennett,Classical
2139,Joseph Walters,Country
2140,Thomas Larson,Hip Hop
2141,Erica Reilly,Country
2143,Eric Webb,Metal
2150,Lawrence Clark,Folk
2151,Melissa Ellis,Electronic
2152,Heather Watts,Hip Hop
2156,Justin Sanchez,Rock
2157,Alejandro Nixon,Country
2162,Erika Wright,Classical
2163,Jeffrey Frank,Classical
2165,Charles Santiago,Country
2168,James Kim,Reggae
2170,Angela Fowler,Blues
2172,Cynthia Boyd,Hip Hop
2175,Brenda Mcneil,Reggae
2176,Dean Harris,Blues
2179,Deborah Sanders,Pop
2182,Michele Wheeler,Metal
2183,Kerri Torres,Classical
2186,April Melton,Reggae
2189,Heather Vega,Reggae
2190,Brian Zimmerman,Pop
2192,Corey Roman,Hip Hop
2193,Pamela Gray,Electronic
2194,Shawn Tucker,Hip Hop
2195,Timothy Fisher,Metal
2197,David Aguirre,R&B
2201,David Ball,Jazz
2202,Alvin Garcia,Folk
2206,Tony Oneal,Reggae
2217,Daniel Figueroa,Blues
2223,Laura Barnett,Jazz
2228,Megan Douglas,Classical
2234,Alexis Mueller,Blues
2235,Courtney Mullins,Jazz
2236,Christopher Woods,Pop
2242,David Browning,Electronic
2250,Justin Dodson,Reggae
2251,Brian James,Pop
2254,Gabriel Welch,Metal
2257,Donald Clark,R&B
2261,Mary Stanton,Reggae
2263,Alex Evans,Pop
2264,Ricardo Wallace,Pop
2266,Paul Miller,Rock
2271,Richard Drake,Pop
2276,Bridget Archer,Metal
2282,Scott Ballard,Jazz
2287,Michael Lowe,Rock
2288,William Moore,Folk
2292,Richard Suarez,Reggae
2297,Thomas English,Electronic
2299,Katrina Schultz,Country
2300,Kathleen Miles,Pop
2302,Michael Stephenson,Country
2305,Leslie Sampson,Rock
2307,Amanda Thomas,R&B
2309,Rachel Davis,Pop
2310,Tara Perry,Reggae
2313,Anthony Walsh,Folk
2318,Anthony Matthews,Reggae
2323,Maria Moore,Jazz
2325,Paul Huynh,Classical
2331,Eileen Wilson,Reggae
2332,Donald Day,Pop
2333,Julie Conrad,Classical
2340,Dennis Finley,Hip Hop
2348,Rebecca Booker,Classical
2354,Crystal Howe,Metal
2355,Donald Jackson,R&B
2362,Scott Ramirez,Reggae
2365,Edward Sherman,Blues
2366,Bradley Miller,Metal
2369,Anna Garcia,Classical
2377,Roger Calhoun,Blues
2383,Brandon Rodriguez,Country
2384,Michael Jackson,Hip Hop
2386,Mary Freeman,Pop
2388,Nicholas Horn,Blues
2389,Michael Nelson,Rock
2391,Raymond Riley,Reggae
2393,Douglas Luna,R&B
2399,Juan Phillips,Jazz
2401,Tammy Duncan,Hip Hop
2406,Timothy Chapman,Pop
2411,Arthur Farmer,Metal
2412,Lori Morgan,Reggae
2413,Jessica Johnson,Reggae
2414,Lauren Christensen,Metal
2417,Beverly Tate,Metal
2419,Justin Carter,Pop
2421,Jeffrey Crawford,R&B
2426,Melinda Lewis,Metal
2431,David Lee,Reggae
2435,Laurie Baxter,Electronic
2441,Blake Ferguson,Rock
2444,April Clark,Jazz
2447,Christopher Koch,Rock
2449,John Smith,Reggae
2455,Joseph Baxter,Metal
2457,Susan White,Electronic
2462,Steven May,Rock
2463,Penny Compton,Blues
2464,Ruth Shaw,Metal
2465,Beth Olson,Electronic
2468,Katherine Olson,Electronic
2469,Dennis Rodriguez,Classical
2471,James Romero,Country
2473,Whitney Gonzales,Hip Hop
2474,Leah Booth,R&B
2480,Cynthia Mendoza,Classical
2493,Tina Grimes,Reggae
2495,James Maddox,Blues
2496,Greg Daniels,Hip Hop
2497,Michelle Cox,Folk
2498,Lisa Aguilar,Jazz
2501,Thomas Robinson,Hip Hop
2506,Linda Thompson,Hip Hop
2509,Ricardo Mercer,Reggae
2511,Michelle Stevens,Classical
2515,Lynn Barrera,Electronic
2516,Rita Lynch,Electronic
2517,Louis Novak,Metal
2522,Krystal Freeman,Classical
2531,Ray Cox,Folk
2532,George Lee,Pop
2533,Amanda Rojas,Reggae
2538,Kristin Hopkins,Reggae
2540,Peter Ford,Pop
2542,Kathy Carroll,Folk
2543,Richard Jacobs,Electronic
2545,Tony Brown,Classical
2549,Breanna Reyes,Rock
2552,Erin Hayes,Classical
2555,Dawn Garcia,R&B
2557,Nathaniel Wright,Jazz
2559,Robert Joseph,Jazz
2561,Rose Murray,R&B
2563,Kevin Murray,Electronic
2566,Janet Simpson,Classical
2570,Susan Cobb,Pop
2575,Jennifer Espinoza,Folk
2579,Danielle Bird,R&B
2581,Daniel Taylor,R&B
2582,Philip Jackson,Folk
2585,Joseph Larson,Reggae
2586,Johnny Rangel,R&B
2588,Melissa Sherman,Jazz
2592,Laura Johnson,Country
2594,Willie Meyer,Blues
2601,Sarah Jones,Folk
2608,Sheila Hartman,Rock
2610,Suzanne Rogers,Hip Hop
2613,Molly Hanson,Blues
2618,Andrew Pruitt,Reggae
2626,Jessica Shaffer,Rock
2627,Melissa Valenzuela,Pop
2632,Sean Alvarez,Reggae
2633,Cynthia Dorsey,Pop
2637,Alicia Jensen,Country
2638,Kathy Young,Rock
2639,Daniel Harris,Jazz
2641,Amy Campbell,Rock
2642,Laura Frank,Pop
2643,John Lewis,Hip Hop
2644,Cole Ryan,Electronic
2646,Scott Cole,Country
2648,Taylor Wagner,Country
2654,Michael Turner,Country
2657,James Hill,Country
2666,Robert Yoder,Hip Hop
2667,Eileen Thomas,Country
2673,Paula Allen,Metal
2675,Carolyn Moran,Classical
2677,Amanda Hancock,Rock
2678,Renee Ortiz,Jazz
2680,Maria Mcdonald,Country
2682,Linda Ryan,R&B
2687,Denise Johnson,Classical
2690,Joseph Martin,Electronic
2697,Michael Thompson,Rock
2699,Brian Stevens,Metal
2702,Steven Payne,Jazz
2705,Angela Johnson,R&B
2708,Jennifer Martin,R&B
2712,Melissa Burton,Classical
2714,Cory Hall,Folk
2716,Hector Black,Folk
2720,Jennifer Clark,Pop
2722,Ryan Thomas,Classical
2725,Randy Stone,Electronic
2729,Michael Johnson,Rock
2730,Jerome Miranda,Reggae
2733,Caitlin Steele,Classical
2741,Vanessa Duarte,Blues
2743,Belinda Barr,Country
2748,Julia King,Rock
2749,Thomas Weaver,Classical
2750,Michael Wood,Pop
2752,Kyle Nelson,Hip Hop
2755,Tina Banks,Classical
2763,Zachary Ford,Folk
2768,Jennifer Baker,Classical
2769,Kimberly Barton,Pop
2770,Paul Jordan,Jazz
2779,Jennifer Vaughn,Blues
2785,Mark Wade,Metal
2786,Shawn Davis,Country
2794,Yvette Parks,Rock
2796,Francis Ruiz,Folk
2799,Catherine Hebert,Blues
2806,Breanna Sanchez,Country
2808,Jason Harrington,Rock
2814,Lisa Wright,Pop
2815,Jessica Ramsey,Blues
2817,Caroline Padilla,R&B
2822,Patricia Gill,Country
2829,Edwin Lutz,Folk
2831,Jessica Woods,Hip Hop
2837,Kara Silva,R&B
2841,Timothy Ponce,Folk
2844,Danielle Dawson,Folk
2845,Julia Johnson,Reggae
2846,Steven Ray,Hip Hop
2849,Joseph Smith,Reggae
2855,Kevin Lucero,Hip Hop
2858,Eric Sharp,Electronic
2864,Elizabeth Allison,Jazz
2865,David Reyes,R&B
2871,Joel Phillips,Pop
2874,Robert Barr,Electronic
2878,Aaron Harris,Reggae
2879,Karen Harvey,Blues
2882,Sarah Bishop,Classical
2885,Raymond Ramirez,Reggae
2886,Sandra Berry,Classical
2890,Christopher Turner,Rock
2897,Emily Conway,Pop
2898,Kimberly Kerr,Hip Hop
2902,Melinda Rodriguez,R&B
2907,Michael Collins,R&B
2912,Rebecca Anderson,Blues
2915,Elaine Wheeler,Rock
2921,Robert Gutierrez,Classical
2922,Jenna Craig,Jazz
2923,Annette Lynch,Hip Hop
2926,Matthew Thompson,Hip Hop
2930,Cindy Snow,R&B
2932,Theresa Henderson,Rock
2933,David Schmidt,Pop
2936,Timothy Wilson,Classical
2939,Carla Sanchez,Country
2940,Kevin Mann,Metal
2942,Kelly Cruz,Metal
2943,Jesse Jackson,Country
2949,Ronald Rhodes,Hip Hop
2951,Denise Gregory,Electronic
2952,Christina Bowman,Pop
2956,Cynthia Chan,R&B
2960,Bethany Mueller,Blues
2961,Jessica Ferrell,Pop
2966,Louis Ramirez,Folk
2967,Mary Callahan,Rock
2970,Erica Nelson,Metal
2971,Charlene Reese,Pop
